org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,22035,93329,0,1631,72362,0,23464756,853,5,52,0,2,33,0,29,6670,490,4
ShanghaiAILab,121210,203348,0,0,808844,1686,0,321,39,47,0,0,88,4,0,4445,430,1
Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baichuan,0,157329,0,0,0,0,0,47,0,10,0,0,0,0,0,3273,244,1
Zhipu,0,1432222,47389,0,712458,0,0,140,0,53,3,0,21,0,0,14559,1034,1
Ali,3932438,42701367,12116291,1104,6798376,0,5051125,76447,124,272,148,6,81,0,21,39581,3000,1
Huawei,0,6772,0,0,0,0,0,1,0,5,0,0,0,0,0,5,7,2
LMSYS,0,740390,0,0,0,0,0,136,0,18,0,0,0,0,0,3453,164,1
Falcon,0,599821,0,0,5283,0,0,499,0,20,0,0,1,0,0,7978,556,1
EleutherAI,0,1932652,0,0,0,20350,0,1412,0,47,0,0,0,1,0,4049,249,1
Meta,13712483,30807685,11355296,195,4366057,5328466,695321,15766,180,119,175,1,28,8,8,49979,3125,2
Google,16434350,7064464,2354,0,7030939,0,756,39295,33,95,3,0,64,0,1,19262,1587,2
