org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.0002941936734627936,0.0015576210070448611,0.0,0.0011901908207578198,0.0012119616440442519,0.0,0.14553002884393088,0.0137571641273532,0.03684210526315789,0.14540816326530612,0.0,0.2222222222222222,0.25380710659898476,0.0,0.3106796116504854,0.12680921771830864,0.1287148199173391,1.0,0.13266802259735544,9,0
ShanghaiAILab,0.015265194351998449,0.006653412501194052,0.0,0.0,0.0868919434615345,0.00014428420230262507,0.0,0.008280813396153297,0.28421052631578947,0.17091836734693877,0.0,0.0,1.0,0.5,0.0,0.10278834521258763,0.13658728596732927,0.25,0.1423188984864349,7,0
Baidu,0.023674997576658374,0.0007035153565532431,0.0,0.0,0.0004854733287330368,0.0,0.0,0.001131983112035734,0.22105263157894736,0.04336734693877551,0.0,0.0,0.04568527918781726,0.0,0.0,0.009940676607343274,0.008069277701239913,0.5,0.04745062118822799,15,6
Baichuan,0.0,0.002645383837002158,0.0,0.0,5.035658733527052e-05,0.0,0.0,0.000581288625099431,0.0,0.03826530612244898,0.0,0.0,0.02030456852791878,0.0,0.0,0.050709111315171924,0.05136784097618579,0.25,0.022995769777286797,24,1
Zhipu,0.008695111312158712,0.03299902637230526,0.021568117182424167,0.0,0.0037031597405095197,0.0,0.0,0.0038140692243366172,0.021052631578947368,0.1326530612244898,0.016666666666666666,0.0,0.12690355329949238,0.0,0.0,0.2401649977407553,0.2347962999409565,0.25,0.06072314968239123,13,-1
Ali,0.1287269378655207,1.0,1.0,0.001162317499428597,0.30981518157162274,0.0,0.05372254170902003,1.0,0.45789473684210524,1.0,0.6388888888888888,0.1111111111111111,0.38071065989847713,0.0,0.27184466019417475,1.0,1.0,0.25,0.47799316864335256,2,0
Huawei,0.0,8.577904459090644e-05,0.0,0.0,0.0,0.0,0.0,3.0594138163127944e-05,0.0,0.012755102040816327,0.0,0.0,0.0,0.0,0.0,7.287886075764863e-05,0.00196811651249754,0.5,0.028606248366490308,21,-1
LMSYS,0.0,0.006559777547591331,0.0,0.0,0.0,0.0,0.0,0.007373187297313835,0.0,0.06377551020408163,0.0,0.0,0.0,0.0,0.0,0.0515836576442637,0.034245227317457196,0.25,0.022974297778372652,25,-1
Falcon,0.0,0.0160407374521353,0.0,0.0,3.835460229054003e-05,0.0,0.0,0.012767953660078728,0.0,0.16071428571428573,0.0,0.0,0.005076142131979695,0.0,0.0,0.12890812890812892,0.13934264908482583,0.25,0.03960490286409582,19,-2
EleutherAI,0.0,0.025013962475427604,0.0,0.0,0.0,0.003001482302809918,0.0,0.030471761610475434,0.0,0.13520408163265307,0.0,0.0,0.0,0.125,0.0,0.06219481977057734,0.05018697106868727,0.25,0.03783739327003503,20,-6
