org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,121,5,9,14,1,60079,1206,3250,27575,181871,375,107,41,2,230596,42747,638,24
ShanghaiAILab,55,4,117,44,2,10344,20,123081,67277,203,0,132,84,6,148490,12192,40243,0
Baidu,15,0,0,0,1,430,0,0,0,239,0,11,4,1,0,430,239,0
Baichuan,0,0,1,0,0,0,0,70,0,0,0,0,1,0,0,70,0,0
Zhipu,10,0,2,3,0,6078,0,379,1443,0,134,0,10,5,0,6005,1895,0
Ali,56,6,36,12,0,5424,403,4760,1628,0,0,20,90,0,3541,8674,0,105
Huawei,4,0,0,2,0,482,0,0,0,0,6,2,4,0,30,452,0,0
LMSYS,4,0,0,0,0,10979,0,0,0,0,419,0,2,2,0,9063,1916,0
Falcon,1,0,0,3,0,10032,0,0,447,0,419,1,3,0,10032,447,0,0
EleutherAI,186,0,8,0,0,102155,0,70,0,0,785,42,152,0,55969,46256,0,0
Meta,30,6,16,20,3,74520,21470,4426,24024,88,1140,27,44,4,46604,77746,178,0
Google,122,44,45,19,7,144552,52542,278,12327,0,2938,131,100,6,21135,188564,0,0
Deepseek,1,0,0,0,0,315,0,0,0,0,18,0,1,0,0,315,0,0
OpenBMB,8,0,0,4,0,56244,0,0,6025,0,344,4,1,7,55908,40,6321,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,165,0,6,12,1,587562,0,316245,214585,387,5732,62,82,40,1057419,49243,12117,0
OpenAI,3,0,0,0,0,2093,0,0,0,0,695,0,1,2,0,87,2006,0
Nvidia,34,1,3,3,16,122449,396,10439,5542,546487,1210,15,32,8,562052,110845,12336,0
Microsoft,27,0,1,2,3,19738,0,149,340,781,0,4,23,6,429,19907,672,0
Apple,1,0,0,4,0,465,0,0,93911,0,9,4,1,0,93911,465,0,0
HuggingFace,66,0,0,2,0,582902,0,0,2922,0,5538,12,39,17,409633,120426,55765,0
Princeton NLP,12,0,0,1,0,79287,0,0,1252,0,149,3,8,2,2924,76983,632,0
UKP Lab,104,0,0,0,0,123080,0,0,0,0,665,20,64,1,66931,50475,104,0
Tencent,0,0,0,4,0,0,0,0,5492,0,1,1,3,0,196,5296,0,0
ByteDance,3,0,0,3,0,9006,0,0,16125,0,2,3,3,0,6662,18469,0,0
