org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,3642,83275,0,427,60891,0,21461543,1349,7,57,0,2,50,0,32,8700,654,4
ShanghaiAILab,188977,355711,0,0,4365598,4746,0,812,54,67,0,0,197,4,0,7052,694,1
Baidu,293087,37612,0,0,24391,0,0,111,42,17,0,0,9,0,0,682,41,2
Baichuan,0,141430,0,0,2530,0,0,57,0,15,0,0,4,0,0,3479,261,1
Zhipu,107642,1764225,377347,0,186053,0,0,374,4,52,3,0,25,0,0,16477,1193,1
Ali,1593588,53462941,17495593,417,15565638,0,7922548,98058,87,392,115,1,75,0,28,68607,5081,1
Huawei,0,4586,0,0,0,0,0,3,0,5,0,0,0,0,0,5,10,2
LMSYS,0,350705,0,0,0,0,0,723,0,25,0,0,0,0,0,3539,174,1
Falcon,0,857585,0,0,1927,0,0,1252,0,63,0,0,1,0,0,8844,708,1
EleutherAI,0,1337320,0,0,0,98729,0,2988,0,53,0,0,0,1,0,4267,255,1
Meta,10689864,26967943,6106205,358766,3025257,32893414,3867484,27630,190,126,180,5,29,8,8,61987,4374,2
Google,12379600,4031293,5585,0,9088622,0,1483,45452,55,133,5,0,84,0,2,29452,2124,2
Deepseek,0,8313465,0,0,429986,0,0,4804,0,51,0,0,11,0,0,46866,1647,1
OpenBMB,1683,667236,94,0,323231,0,1752,163,1,45,1,0,22,0,2,7989,531,1
01-AI,0,288621,0,0,270,0,0,1081,0,25,0,0,2,0,0,4367,269,1
Ai2,4014,553572,0,0,272213,0,401716,928,1,159,0,0,7,0,7,4788,437,1
OpenAI,2095,0,0,6716,50241689,0,0,8108,5,0,0,2,16,0,0,14099,858,1
Nvidia,1587964,1467685,5126486,673,531796,0,33260,1713,64,98,92,3,27,0,9,15199,986,1
Microsoft,9584413,9688350,4394109,12881,6665127,0,0,10012,64,74,20,2,71,0,0,35310,2181,1
Apple,1230958,1279245,0,0,573433,0,0,209,45,14,0,0,15,0,0,3473,296,1
HuggingFace,1969,2037978,0,0,522700,0,0,3657,1,46,0,0,12,0,0,8229,400,1
Princeton NLP,0,204945,0,0,0,0,0,769,0,62,0,0,0,0,0,535,140,1
UKP Lab,0,0,0,0,224621,0,147471578,1815,0,0,0,0,1,0,103,8562,549,1
Tencent,41081,41721,1869,339964,202278,0,1180,205,31,19,1,9,20,0,9,8656,322,1
ByteDance,35650,564020,0,4122,420441,0,0,178,9,18,0,4,25,0,0,8903,380,2
