org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank,delta rank
BAAI,0.6505376344086021,0.11363636363636363,0.07692307692307693,0.3181818181818182,0.0625,0.10225133688019307,0.022953066118533743,0.010276842321617734,0.1285038562807279,0.33280023129552944,0.06542219120725751,0.8106060606060606,0.26973684210526316,0.05,0.21807438678518165,0.22669756687384654,0.011440867927911772,0.22857142857142856,0.2055063094513007,6,0
ShanghaiAILab,0.2956989247311828,0.09090909090909091,1.0,1.0,0.125,0.01760495062648708,0.00038064786266225117,0.3891950860883176,0.3135214483771,0.00037146354808074116,0.0,1.0,0.5526315789473685,0.15,0.1404268317478691,0.06465709255213084,0.7216533668071371,0.0,0.32566947123319046,3,0
Baidu,0.08064516129032258,0.0,0.0,0.0,0.0625,0.0007318376613872238,0.0,0.0,0.0,0.00043733885709998593,0.0,0.08333333333333333,0.02631578947368421,0.025,0.0,0.0022803928639613075,0.004285842374249081,0.0,0.015862760880779873,17,0
Baichuan,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.00022134737308099732,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.0003712267452960268,0.0,0.0,0.0008732516685448125,24,0
Zhipu,0.053763440860215055,0.0,0.017094017094017096,0.06818181818181818,0.0,0.010344440246305922,0.0,0.001198437919967114,0.006724607964209987,0.0,0.023377529658060014,0.0,0.06578947368421052,0.125,0.0,0.03184595150718059,0.03398188828117995,0.0,0.0242945336331758,15,0
Ali,0.3010752688172043,0.13636363636363635,0.3076923076923077,0.2727272727272727,0.0,0.009231366221777447,0.00767005443264436,0.015051621369507818,0.007586737190390754,0.0,0.0,0.15151515151515152,0.5921052631578947,0.0,0.0033487198546649907,0.04600029698139624,0.0,1.0,0.15835376090688047,9,0
Huawei,0.021505376344086023,0.0,0.0,0.045454545454545456,0.0,0.0008203389599735857,0.0,0.0,0.0,0.0,0.00104675505931612,0.015151515151515152,0.02631578947368421,0.0,2.837096742161811e-05,0.0023970641267686303,0.0,0.0,0.00626220864096171,22,0
LMSYS,0.021505376344086023,0.0,0.0,0.0,0.0,0.018685687638070537,0.0,0.0,0.0,0.0,0.07309839497557571,0.0,0.013157894736842105,0.05,0.0,0.048063257037398444,0.03435846857347799,0.0,0.014381615516969488,18,0
Falcon,0.005376344086021506,0.0,0.0,0.06818181818181818,0.0,0.017073942834968905,0.0,0.0,0.0020830906167719084,0.0,0.07309839497557571,0.007575757575757576,0.019736842105263157,0.0,0.009487251505789097,0.002370547930676057,0.0,0.0,0.011387999434035673,20,1
EleutherAI,1.0,0.0,0.06837606837606838,0.0,0.0,0.1738625030209578,0.0,0.00022134737308099732,0.0,0.0,0.13695045359385905,0.3181818181818182,1.0,0.0,0.0529298225206848,0.2453066332916145,0.0,0.0,0.1664349247976713,7,1
