org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,-11980,19676,0,-2490,-84812,0,2696325,60,0,2,0,0,0,0,2,169,32,0
ShanghaiAILab,63029,98956,0,0,1197454,2640,0,16,1,1,0,0,-3,0,0,105,-1,0
Baidu,293087,37612,0,0,24391,0,0,111,42,17,0,0,9,0,0,682,41,0
Baichuan,0,66163,0,0,1264,0,0,0,0,0,0,0,0,0,0,-81,-9,0
Zhipu,-161554,-2943772,93257,0,-149774,0,0,27,0,-2,0,0,2,0,0,136,3,0
Ali,-1384819,19995714,-2082665,284,3584963,0,3944498,2473,-21,61,-44,-1,-4,0,-1,2101,308,0
Huawei,0,3841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMSYS,0,-40218,0,0,0,0,0,11,0,-1,0,0,0,0,0,10,3,0
Falcon,0,-142591,0,0,1417,0,0,48,0,-3,0,0,0,0,0,35,3,0
EleutherAI,0,-1144996,0,0,0,6622,0,48,0,7,0,0,0,-1,0,-41,-2,0
Meta,2330398,-6000173,-2260082,229596,-787796,19037038,3541959,1697,10,-9,12,0,3,0,-1,1001,114,0
Google,2308122,-263530,1928,0,-4756735,0,-786,803,1,4,0,0,11,0,0,1650,120,0
Deepseek,0,-1920957,0,0,70471,0,0,276,0,1,0,0,0,0,0,1300,88,0
OpenBMB,1683,248427,94,0,-140169,0,84,35,1,16,1,0,5,0,0,460,50,0
01-AI,0,77303,0,0,-377,0,0,2,0,-1,0,0,0,0,0,-337,-12,0
Ai2,4014,-311944,0,0,-87273,0,170470,35,1,62,0,0,-1,0,-1,48,35,0
OpenAI,345,0,0,634,-47802840,0,0,227,-1,0,0,0,0,0,0,280,16,0
Nvidia,-89110,398112,902431,-840,133680,0,-14995,92,-6,8,2,0,8,0,6,419,62,0
Microsoft,1534206,1287571,2293883,11934,-34371,0,0,95,1,3,1,1,5,0,0,857,50,0
Apple,116714,-384344,0,0,-219465,0,0,23,7,3,0,0,3,0,0,453,51,0
HuggingFace,-2019,-79719,0,0,-1003,0,0,156,0,2,0,0,-1,0,0,179,12,0
Princeton NLP,0,63114,0,0,0,0,0,9,0,2,0,0,0,0,0,5,1,0
UKP Lab,0,0,0,0,60985,0,-2794126,106,0,0,0,0,0,0,-4,228,-5,0
Tencent,-19363,39859,1869,-127336,99268,0,-196,20,1,6,1,1,1,0,0,1767,75,0
ByteDance,33995,473192,0,4122,-160743,0,-150,11,1,2,0,4,1,0,-1,782,37,0
