org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
01-AI,,,,,,,,,,,,,,,,,,
Ai2,,,,,,,,,,,,,,,,,,
Ali,1.0,0.0,0.0,0.0,0.0,-663.0,-166.0,145.0,-296.0,0.0,1.0,1.0,0.0,0.0,657.0,-1637.0,0.0,0.0
Apple,,,,,,,,,,,,,,,,,,
BAAI,2.0,0.0,0.0,0.0,0.0,-7490.0,-12.0,-656.0,6357.0,0.0,9.0,2.0,0.0,0.0,-6354.0,4958.0,-405.0,0.0
Baichuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
Baidu,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,40.0,0.0
Deepseek,,,,,,,,,,,,,,,,,,
EleutherAI,11.0,0.0,0.0,0.0,0.0,25711.0,0.0,-51.0,0.0,0.0,15.0,6.0,5.0,0.0,14553.0,11107.0,0.0,0.0
Falcon,0.0,0.0,0.0,0.0,0.0,20945.0,0.0,0.0,431.0,0.0,8.0,0.0,0.0,0.0,20945.0,431.0,0.0,0.0
Google,2.0,0.0,0.0,0.0,0.0,-3748.0,7481.0,211.0,1615.0,0.0,80.0,0.0,2.0,0.0,-116.0,5675.0,0.0,0.0
Huawei,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,227.0,0.0,0.0
HuggingFace,,,,,,,,,,,,,,,,,,
LMSYS,0.0,0.0,0.0,0.0,0.0,1261.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1186.0,75.0,0.0
Meta,5.0,0.0,1.0,0.0,0.0,8416.0,3410.0,9528.0,2462.0,-120.0,28.0,4.0,0.0,2.0,22422.0,1149.0,125.0,0.0
Microsoft,,,,,,,,,,,,,,,,,,
Nvidia,,,,,,,,,,,,,,,,,,
OpenAI,,,,,,,,,,,,,,,,,,
OpenBMB,,,,,,,,,,,,,,,,,,
Princeton NLP,,,,,,,,,,,,,,,,,,
ShanghaiAILab,16.0,3.0,23.0,4.0,1.0,-1238.0,6.0,-2511.0,-8453.0,468.0,411.0,24.0,23.0,0.0,-10440.0,-1288.0,0.0,0.0
UKP Lab,,,,,,,,,,,,,,,,,,
Zhipu,1.0,0.0,0.0,0.0,0.0,-88.0,0.0,921.0,-92.0,0.0,-1.0,0.0,1.0,0.0,0.0,-193.0,934.0,0.0
