org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,9049,61350,0,1649,58514,0,14637765,1032,7,55,0,2,38,0,29,7531,531,4
ShanghaiAILab,576966,234496,0,0,3187791,1379,0,547,45,65,0,0,139,3,0,6393,601,1
Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baichuan,0,209205,0,0,202,0,0,49,0,15,0,0,2,0,0,3524,248,1
Zhipu,0,1660128,93722,0,588575,0,0,175,0,51,3,0,22,0,0,15217,1073,1
Ali,1458583,16918196,9084702,250749,10397779,0,7854993,86575,106,279,153,1,81,0,23,50025,3347,1
Huawei,0,11561,0,0,0,0,0,2,0,11,0,0,0,0,0,6,15,2
LMSYS,0,524694,0,0,0,0,0,699,0,23,0,0,0,0,0,3501,168,1
Falcon,0,770612,0,0,670,0,0,1281,0,49,0,0,1,0,0,8491,662,1
EleutherAI,0,1707034,0,0,0,36042,0,2859,0,53,0,0,0,2,0,4190,262,1
Meta,15697573,50865232,20787263,157,3404453,29906176,481020,21421,208,122,702,1,35,8,13,55670,3733,2
Google,14663540,5982709,3063,0,14922136,0,1929,40935,55,129,3,0,69,0,2,21413,1733,2
Deepseek,0,16768936,0,0,981425,0,0,3201,0,57,0,0,11,0,0,35072,1139,1
OpenBMB,0,61970,0,0,1022186,0,8657,155,0,37,0,0,18,0,2,7213,467,1
01-AI,0,159579,0,0,419,0,0,1115,0,26,0,0,2,0,0,4426,269,1
Ai2,0,542675,0,0,282097,0,286148,722,0,119,0,0,7,0,6,4243,415,1
OpenAI,2958,0,0,7463,102397991,0,0,6722,5,0,0,2,16,0,0,12735,772,1
Nvidia,2255447,2081800,3049835,0,26015,0,363302,1154,56,55,60,0,8,0,3,10824,663,1
Microsoft,10715095,5923092,1320822,0,11643461,0,0,8763,64,71,27,0,80,0,0,29740,1891,1
Apple,788888,1538460,0,0,553848,0,0,177,41,10,0,0,17,0,0,2992,250,1
HuggingFace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Princeton NLP,0,190869,0,0,0,0,0,820,0,98,0,0,0,0,0,511,154,1
UKP Lab,0,0,0,0,146062,0,200085879,1314,0,0,0,0,1,0,111,7559,540,1
