org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,119,2,10,11,0,54291,0,2607,20106,0,319,102,38,2,41519,35026,459,24
ShanghaiAILab,45,4,116,34,1,14803,6,26142,23419,468,411,121,79,0,45393,19445,0,0
Baidu,18,0,0,0,0,651,0,0,0,0,1,11,6,1,0,471,180,0
Baichuan,0,0,1,0,0,0,0,127,0,0,0,0,1,0,0,127,0,0
Zhipu,9,0,2,2,0,4181,0,931,2510,0,128,0,9,4,0,3585,4037,0
Ali,50,6,36,11,0,4776,794,2903,477,0,2,20,83,0,2913,6037,0,105
Huawei,4,0,0,2,0,719,0,0,0,0,6,2,4,0,291,428,0,0
LMSYS,4,0,0,0,0,7590,0,0,0,0,391,0,2,2,0,5898,1692,0
Falcon,1,0,0,1,0,44783,0,0,659,0,374,1,1,0,44783,659,0,0
EleutherAI,181,0,8,0,0,143499,0,375,0,0,616,37,152,0,95885,47989,0,0
Meta,30,6,16,14,3,78399,27704,13103,9373,181,1015,24,41,4,55031,73487,242,0
Google,122,44,45,19,7,126371,38102,380,15567,0,2702,131,100,6,23490,156930,0,0
Deepseek,1,0,0,0,0,816,0,0,0,0,16,0,1,0,0,816,0,0
OpenBMB,4,0,0,4,0,22532,0,0,6185,0,290,2,0,6,1719,0,26998,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,153,0,6,12,0,938020,0,205476,56616,0,5080,59,75,37,1143783,36663,19666,0
OpenAI,3,0,0,0,0,3384,0,0,0,0,573,0,1,2,0,149,3235,0
Nvidia,14,0,1,1,1,21545,0,200,83,323,576,2,11,4,283,12881,8987,0
Microsoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,1,0,0,4,0,282,0,0,357878,0,9,4,1,0,357878,282,0,0
HuggingFace,5,0,0,0,0,1032787,0,0,0,0,636,4,1,0,1032548,239,0,0
Princeton NLP,12,0,0,1,0,31297,0,0,1449,0,137,3,8,2,5513,26670,563,0
UKP Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
