org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.3010299956639812,1.0,0.5,0.45988286234999426,4,-1
ShanghaiAILab,0.5,0.3333333333333333,0.31546487678572877,1.0,0.4692441461309548,3,2
Baidu,0.23981246656813146,0.22424382421757544,0.3562071871080222,0.23981246656813146,0.2514272654828352,21,-1
Baichuan,0.21533827903669653,0.21274605355336318,0.24465054211822604,0.23981246656813146,0.22300657473052393,25,0
Zhipu,0.25,0.27023815442731974,0.24465054211822604,0.43067655807339306,0.2893402605789297,13,0
Ali,0.3010299956639812,0.6309297535714575,0.2890648263178879,0.23981246656813146,0.45378275821072883,5,-1
Huawei,0.22106472945750374,0.227670248696953,0.3333333333333333,0.23981246656813146,0.24620354590830457,22,-1
LMSYS,0.23540891336663824,0.21533827903669653,0.26264953503719357,0.38685280723454163,0.25515434879141047,19,-1
Falcon,0.22424382421757544,0.23981246656813146,0.24465054211822604,0.3562071871080222,0.25742315885803635,17,0
EleutherAI,0.31546487678572877,0.2559580248098155,0.25,0.24465054211822604,0.2629982488889002,14,5
Meta,0.3333333333333333,1.0,0.6309297535714575,0.3010299956639812,0.7108821804281288,1,0
Google,0.6309297535714575,0.5,0.5,0.31546487678572877,0.4910657717261977,2,0
Deepseek,0.21810429198553155,0.27894294565112987,0.27023815442731974,0.23981246656813146,0.26083062498906207,15,0
OpenBMB,0.27023815442731974,0.23137821315975915,0.26264953503719357,0.3333333333333333,0.26005927704618736,16,0
01-AI,0.21274605355336318,0.22106472945750374,0.26264953503719357,0.23981246656813146,0.22973370725519987,24,0
Ai2,1.0,0.25,0.26264953503719357,0.2890648263178879,0.38361906022584685,6,0
OpenAI,0.23137821315975915,0.2890648263178879,0.43067655807339306,0.2559580248098155,0.29753454583277184,11,1
Nvidia,0.43067655807339306,0.3562071871080222,0.3010299956639812,0.26264953503719357,0.3438296083497724,8,0
Microsoft,0.27894294565112987,0.43067655807339306,0.38685280723454163,0.27023815442731974,0.3713439302555284,7,0
Apple,0.26264953503719357,0.24465054211822604,0.27894294565112987,0.23981246656813146,0.25255942893518885,20,-6
HuggingFace,0.38685280723454163,0.23540891336663824,0.2559580248098155,0.6309297535714575,0.32999455428595487,9,0
Princeton NLP,0.2559580248098155,0.21810429198553155,0.26264953503719357,0.25,0.23715340596726728,23,0
UKP Lab,0.2890648263178879,0.31546487678572877,0.26264953503719357,0.27894294565112987,0.2961753228938996,12,-2
Tencent,0.227670248696953,0.38685280723454163,0.26264953503719357,0.23981246656813146,0.3151151120009838,10,1
ByteDance,0.24465054211822604,0.26264953503719357,0.26264953503719357,0.23981246656813146,0.25584352480585526,18,4
