org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,4,1,0,1,0,66,-547,-29,-12245,166218,20,5,1,0,167709,-14180,-66,0
ShanghaiAILab,1,0,1,0,0,-3589,18,17813,34511,-398,-482,1,0,1,20371,-11623,39607,0
Baidu,0,0,0,0,0,113,0,0,0,0,-1,0,0,0,0,113,0,0
Baichuan,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0
Zhipu,0,0,0,0,0,527,0,-419,-212,0,2,0,0,0,0,730,-834,0
Ali,4,0,0,1,0,84,-191,-3783,1024,0,0,0,5,0,-763,-2103,0,0
Huawei,0,0,0,0,0,-241,0,0,0,0,0,0,0,0,-93,-148,0,0
LMSYS,0,0,0,0,0,-4436,0,0,0,0,10,0,0,0,0,-3158,-1278,0
Falcon,0,0,0,0,0,-8397,0,0,-322,0,0,0,0,0,-8397,-322,0,0
EleutherAI,0,0,0,0,0,-138274,0,-136,0,0,124,0,0,0,-127525,-10885,0,0
Meta,0,0,0,0,0,1010,4159,-15871,-196,32,23,0,0,0,-17173,6303,4,0
Google,0,0,0,0,0,-4566,26226,-122,1033,0,95,0,0,0,2880,19691,0,0
Deepseek,0,0,0,0,0,-235,0,0,0,0,1,0,0,0,0,-235,0,0
OpenBMB,1,0,0,0,0,26542,0,0,601,0,30,1,0,0,27242,-9,-90,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,1,0,0,0,1,-281427,0,-76838,67542,120,161,1,1,0,-297301,10043,-3345,0
OpenAI,0,0,0,0,0,-859,0,0,0,0,28,0,0,0,0,28,-887,0
Nvidia,3,1,0,1,2,29150,74,17504,-1243,460161,324,1,5,1,467468,25467,12927,0
Microsoft,2,0,0,0,0,-1099,0,-131,-1080,566,0,0,2,0,-1244,-637,137,0
Apple,0,0,0,0,0,86,0,0,-32851,0,0,0,0,0,-32851,86,0,0
HuggingFace,1,0,0,0,0,-477102,0,0,736,0,4326,0,1,0,-548790,37666,34758,0
Princeton NLP,0,0,0,0,0,19625,0,0,-402,0,1,0,0,0,988,18222,13,0
UKP Lab,1,0,0,0,0,-13275,0,0,0,0,76,0,0,1,5632,-13480,72,0
Tencent,0,0,0,0,0,0,0,0,-6879,0,1,0,0,0,21,-6900,0,0
ByteDance,1,0,0,3,0,2438,0,0,8109,0,1,2,2,0,3478,7069,0,0
