org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank,delta rank
BAAI,0.6648936170212766,0.13636363636363635,0.358974358974359,0.5333333333333333,0.0625,0.07862225710991924,0.049956395818305147,0.003842280881891893,0.23652787001559855,0.11199359083519564,0.0736710893264599,1.0,0.2894736842105263,0.044444444444444446,0.07173607252449103,0.27785571511318397,0.03270435677102274,0.22857142857142856,0.23641467396194848,6,0
ShanghaiAILab,0.324468085106383,0.09090909090909091,1.0,1.0,0.125,0.015472839599433769,0.0003095358577104036,0.0867767788358999,0.33045166562907136,0.0006671729648601613,0.06674131665680723,0.875,0.5921052631578947,0.13333333333333333,0.058495723275191355,0.13757587729724483,0.8766482060660218,0.0,0.31744193826049677,3,0
Baidu,0.10106382978723404,0.0,0.0,0.0,0.0625,0.000567019959339046,0.0,0.0,0.0,8.339662060752017e-05,6.33820671004817e-05,0.07236842105263158,0.046052631578947366,0.044444444444444446,0.0,0.0024849919477153946,0.00475369125424715,0.0,0.018576767150681503,16,0
Baichuan,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,7.837821773177517e-05,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.00036026021769627653,0.0,0.0,0.0008646996861587585,24,0
Zhipu,0.06914893617021277,0.0,0.02564102564102564,0.06666666666666667,0.0,0.0083611796274826,0.0,0.0007310444174313157,0.012197965492324232,0.0,0.016563846868925886,0.0,0.07894736842105263,0.15555555555555556,0.0,0.03946858269746512,0.13284878586049603,0.0,0.033673942078813246,14,0
Ali,0.30851063829787234,0.1590909090909091,0.3076923076923077,0.26666666666666666,0.0625,0.0062130463199865996,0.014671999655473132,0.005049567666916467,0.008060922877553235,0.0019582064561359334,0.0001267641342009634,0.13815789473684212,0.6118421052631579,0.0,0.0021773092925986047,0.05119378048902981,0.0,1.0,0.16355067325775835,9,0
Huawei,0.02127659574468085,0.0,0.0,0.044444444444444446,0.0,0.000585281260161133,0.0,0.0,0.0,0.0,0.0003802924026028902,0.013157894736842105,0.02631578947368421,0.0,0.00012916562947348813,0.0018428180652419201,0.0,0.0,0.0060073489865072795,22,0
LMSYS,0.02127659574468085,0.0,0.0,0.0,0.0,0.014517077272234611,0.0,0.0,0.0,0.0,0.025416208907293163,0.0,0.013157894736842105,0.044444444444444446,0.0,0.06096835000150667,0.101058800303405,0.0,0.015602187300578156,17,0
Falcon,0.005319148936170213,0.0,0.0,0.06666666666666667,0.0,0.030864751419684762,0.0,0.0,0.003341339105903212,0.0,0.026662722893602636,0.006578947368421052,0.019736842105263157,0.0,0.017818789192439496,0.002907527630552477,0.0,0.0,0.009994263073261313,20,0
EleutherAI,1.0,0.0,0.06837606837606838,0.0,0.0,0.17373512574350755,0.0,0.0003611516761283841,0.0,0.0,0.08465731429054339,0.27631578947368424,1.0,0.0,0.06929701890581315,0.27515242422314706,0.0,0.0,0.16377193848271623,8,0
Meta,0.18085106382978725,0.13636363636363635,0.13675213675213677,0.4444444444444444,0.1875,0.12126489067852557,0.568305143140147,0.012545322422930029,0.1958238647950448,0.0003750157713770423,0.224076734555903,0.18421052631578946,0.29605263157894735,0.1111111111111111,0.042374972904039264,0.6121390283018552,0.016900281584771564,0.0,0.19283837803058035,7,0
Google,0.6861702127659575,1.0,0.38461538461538464,0.4444444444444444,0.4375,0.15585507884218097,1.0,0.00042612692725918657,0.09321274141405902,0.0,0.4830347333727711,0.868421052631579,0.6776315789473685,0.13333333333333333,0.013456130937997312,1.0,0.0,0.0,0.4098944899017964,2,0
Deepseek,0.005319148936170213,0.0,0.0,0.0,0.0,0.000601046411949985,0.0,0.0,0.0,0.0,0.0008028395166061016,0.0,0.006578947368421052,0.0,0.0,0.0030635511077332068,0.0,0.0,0.0009091962967155866,23,0
OpenBMB,0.10106382978723404,0.0,0.0,0.3111111111111111,0.0,0.043178780105692205,0.0,0.0,0.035717391354535166,0.0,0.041811036930617766,0.03289473684210526,0.05263157894736842,0.26666666666666666,0.016000079486541214,0.012021843286805303,0.746817884269698,0.0,0.09221749659935417,10,0
01-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0
Ai2,0.9468085106382979,0.022727272727272728,0.07692307692307693,0.3111111111111111,0.0625,0.8345678541986212,0.00042796696848655804,1.0,0.38421782883755723,0.00026471701508967694,1.0,0.4342105263157895,0.5657894736842105,1.0,1.0,0.27592115792187444,0.6162758076079842,0.0,0.47398585021940953,1,0
OpenAI,0.026595744680851064,0.0,0.0,0.0,0.0,0.0037293780319178635,0.0,0.0,0.0,0.0,0.03382489647595707,0.0,0.006578947368421052,0.044444444444444446,0.0,0.0005256584960809982,0.11454577570889746,0.0,0.012791380289253886,18,0
Nvidia,0.22872340425531915,0.13636363636363635,0.05128205128205128,0.13333333333333333,1.0,0.1036625732012126,0.07711749442835455,0.027595834124885345,0.026449061508496866,1.0,0.16456097354855068,0.1513157894736842,0.28289473684210525,0.17777777777777778,0.2928684644884017,0.5034656631165187,0.7094273750272753,0.0,0.2814910093762002,4,0
