org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,121,5,9,14,1,66672,1051,2334,26959,182246,373,107,41,2,238372,40262,628,24
ShanghaiAILab,49,4,117,43,2,7863,26,56109,67806,202,0,125,84,6,77971,12901,41134,0
Baidu,19,0,0,0,0,397,0,0,0,0,0,11,7,1,0,379,18,0
Baichuan,0,0,1,0,0,0,0,61,0,0,0,0,1,0,0,61,0,0
Zhipu,10,0,2,2,0,5461,0,284,1042,0,134,0,10,4,0,5323,1464,0
Ali,55,6,36,12,0,4201,375,2695,1364,0,0,20,89,0,2980,5655,0,105
Huawei,4,0,0,2,0,250,0,0,0,0,6,2,4,0,35,215,0,0
LMSYS,4,0,0,0,0,9833,0,0,0,0,413,0,2,2,0,7503,2330,0
Falcon,1,0,0,3,0,17936,0,0,477,0,417,1,3,0,17936,477,0,0
EleutherAI,186,0,8,0,0,99786,0,62,0,0,764,42,152,0,60777,39071,0,0
Meta,30,6,16,19,3,89570,20378,3609,19029,83,1130,26,44,4,41773,90711,185,0
Google,122,44,45,19,7,122873,61039,220,11727,0,2890,131,100,6,17926,177933,0,0
Deepseek,1,0,0,0,0,392,0,0,0,0,18,0,1,0,0,392,0,0
OpenBMB,7,0,0,4,0,44363,0,0,4959,0,335,4,1,6,43317,38,5967,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,165,0,6,12,1,678854,0,223166,84261,120,5647,62,82,40,925916,50849,9636,0
OpenAI,3,0,0,0,0,2228,0,0,0,0,659,0,1,2,0,70,2158,0
Nvidia,30,1,3,3,10,143448,74,24879,6647,1231167,1131,12,25,8,1256331,124328,25493,0
Microsoft,26,0,1,2,3,17391,0,142,360,874,0,4,22,6,459,17629,679,0
Apple,1,0,0,4,0,359,0,0,34008,0,9,4,1,0,34008,359,0,0
HuggingFace,66,0,0,2,0,797923,0,0,3077,0,5260,12,39,17,625153,118927,56920,0
Princeton NLP,12,0,0,1,0,36472,0,0,812,0,142,3,8,2,2552,33843,889,0
UKP Lab,103,0,0,0,0,87089,0,0,0,0,602,20,63,1,40114,38255,72,0
Tencent,0,0,0,4,0,0,0,0,6270,0,1,1,3,0,166,6104,0,0
ByteDance,3,0,0,3,0,4407,0,0,8109,0,1,3,3,0,3710,8806,0,0
