org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,10223,29287,0,2460,42889,0,1712885,76,0,0,0,0,4,0,1,484,74,0
ShanghaiAILab,-361812,99196,0,0,1258547,759,0,143,2,-1,0,0,17,2,0,34,26,0
Baidu,0,-53,0,0,0,0,0,-3,0,-1,0,0,0,0,0,-10,0,0
Baichuan,0,-195238,0,0,165,0,0,2,0,0,0,0,0,0,0,94,10,0
Zhipu,-38181,2812483,-23829,0,-42652,0,0,23,2,1,0,0,1,0,0,334,30,0
Ali,-44784,6604656,4933148,53,317730,0,-794903,3046,0,20,1,1,0,0,4,4197,395,0
Huawei,0,745,0,0,0,0,0,3,0,5,0,0,0,0,0,5,10,0
LMSYS,0,471,0,0,0,0,0,46,0,2,0,0,0,0,0,9,0,0
Falcon,0,274171,0,0,-95,0,0,33,0,25,0,0,0,0,0,256,40,0
EleutherAI,0,-211275,0,0,0,52417,0,263,0,0,0,0,0,1,0,43,0,0
Meta,-1765944,-174956,284237,-80337,1095510,-15264714,31774,1428,7,9,-14,2,-4,0,-1,1242,155,0
Google,660322,-750787,2872,0,164360,0,-4664,1482,0,17,2,0,-3,0,0,2035,79,0
Deepseek,0,-254316,0,0,-45121,0,0,398,0,-3,0,0,0,0,0,3304,146,0
OpenBMB,0,380744,0,0,-139045,0,-1434,0,0,4,0,0,1,0,0,329,28,0
01-AI,0,44570,0,0,70,0,0,-4,0,0,0,0,0,0,0,221,17,0
Ai2,0,597844,0,0,-154968,0,-49183,117,0,12,0,0,1,0,0,182,22,0
OpenAI,-1004,0,0,-1280,9552737,0,0,441,1,0,0,0,0,0,0,322,9,0
Nvidia,125160,-636782,1756944,334,353615,0,-2436,234,1,16,28,0,5,0,0,2023,123,0
Microsoft,1167033,1851249,208403,947,518410,0,0,441,2,4,-1,1,-4,0,0,1025,57,0
Apple,141544,-22470,0,0,301246,0,0,4,0,1,0,0,-8,0,0,-142,-18,0
HuggingFace,584,-1027135,0,0,-210147,0,0,228,0,0,0,0,1,0,0,253,16,0
Princeton NLP,0,-98518,0,0,0,0,0,25,0,-2,0,0,0,0,0,3,0,0
UKP Lab,0,0,0,0,-18556,0,5020950,163,0,0,0,0,0,0,1,232,9,0
Tencent,4302,1413,0,-28364,-57392,0,1376,22,17,10,0,2,8,0,9,553,36,0
ByteDance,1527,82527,0,0,131450,0,150,65,7,10,0,0,7,0,1,1875,69,0
