org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank,delta rank
BAAI,0.6290322580645161,0.09090909090909091,0.07758620689655173,0.3023255813953488,0.125,0.0522389757063587,0.04590239278430471,0.007876561645844722,0.5863683273755216,0.020788424473998906,0.06434560699963543,0.7786259541984732,0.2631578947368421,0.05,0.05776816378451248,0.3440426688237004,0.03131486327948741,0.22857142857142856,0.20865857775808974,6,-2.0
ShanghaiAILab,0.25806451612903225,0.09090909090909091,1.0,1.0,0.25,0.008981784670888806,0.0002297992129376957,0.12765163131158253,0.4979883037436994,0.0007782040606687886,0.08786000729128692,0.9465648854961832,0.5526315789473685,0.125,0.04708894660554914,0.15497781878388797,0.06890172367114882,0.0,0.28986823837962916,3,0.0
Baidu,0.10215053763440861,0.0,0.0,0.0,0.0,0.0002227407305739103,0.0,0.0,0.0,0.0,0.0001822821728034998,0.08396946564885496,0.046052631578947366,0.025,0.0,0.0016809696540741395,0.0008122010648858406,0.0,0.014448379360252684,19,-1.0
Baichuan,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.00014333142224770337,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.0002717356959593534,0.0,0.0,0.0008674835634333624,24,-2.0
Zhipu,0.053763440860215055,0.0,0.017241379310344827,0.046511627906976744,0.0,0.0038697280445481462,0.0,0.002343302089305476,0.01875588925948638,0.0,0.024061246810061977,0.0,0.06578947368421052,0.1,0.0,0.029025163989332792,0.10369100261709233,0.0,0.02583623636508746,14,0.0
Ali,0.27419354838709675,0.13636363636363635,0.3103448275862069,0.2558139534883721,0.0,0.0032289562949746084,0.01625829431534197,0.021593045426060987,0.0050853288263360205,0.0,0.0,0.15267175572519084,0.5526315789473685,0.0,0.00305996401292657,0.04902617509889916,0.0,1.0,0.1544595035818006,9,-1.0
Huawei,0.021505376344086023,0.0,0.0,0.046511627906976744,0.0,0.00038509048842179567,0.0,0.0,0.0,0.0,0.001093693036820999,0.015267175572519083,0.02631578947368421,0.0,0.00010464210356788698,0.0022939548286801227,0.0,0.0,0.006304297208597604,21,-1.0
LMSYS,0.021505376344086023,0.0,0.0,0.0,0.0,0.011191153114644812,0.0,0.0,0.0,0.0,0.07345971563981042,0.0,0.013157894736842105,0.05,0.0,0.06737149429355038,0.1628011912282285,0.0,0.022193712519842347,16,0.0
Falcon,0.005376344086021506,0.0,0.0,0.06976744186046512,0.0,0.020652928373953452,0.0,0.0,0.011950522741889649,0.0,0.07601166605905943,0.007633587786259542,0.019736842105263157,0.0,0.021527660259790374,0.005049228397012172,0.0,0.0,0.013205901203873022,20,-1.0
EleutherAI,1.0,0.0,0.06896551724137931,0.0,0.0,0.18671006450853905,0.0,0.0006599912001173317,0.0,0.0,0.11666059059423989,0.32061068702290074,1.0,0.0,0.15393997957843947,0.3156936843568711,0.0,0.0,0.17573558413902704,8,-2.0
Meta,0.16129032258064516,0.13636363636363635,0.13793103448275862,0.4418604651162791,0.375,0.06945746161839964,0.4658891793295608,0.06493246756709911,0.2875454314303235,6.614734515684703e-05,0.2017863652934743,0.1984732824427481,0.2894736842105263,0.1,0.0481893237258802,0.533410851733421,0.008167132930240953,0.0,0.19554648812056388,7,-2.0
Google,0.6559139784946236,1.0,0.3879310344827586,0.4418604651162791,0.875,0.09995019705495971,1.0,0.001139984800202664,0.15994854843775708,0.0,0.509478672985782,1.0,0.6578947368421053,0.15,0.012300352267831464,1.0,0.0,0.0,0.44174544280457223,2,0.0
Deepseek,0.005376344086021506,0.0,0.0,0.0,0.0,0.0004917550636262035,0.0,0.0,0.0,0.0,0.003098796937659497,0.0,0.006578947368421052,0.0,0.0,0.003962285613174758,0.0,0.0,0.0010837849482723896,23,-2.0
OpenBMB,0.03225806451612903,0.0,0.0,0.09302325581395349,0.0,0.013976980843512872,0.0,0.0,0.0651819500740364,0.0,0.055596062705067444,0.022900763358778626,0.006578947368421052,0.15,0.01314157667854518,0.000297013435118363,0.2733056583340854,0.0,0.04034779295153599,13,-2.0
01-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,-2.0
Ai2,0.8817204301075269,0.0,0.05172413793103448,0.27906976744186046,0.0,0.7531468010431168,0.0,1.0,0.2500635666103292,0.0,1.0,0.46564885496183206,0.5328947368421053,1.0,1.0,0.25787085603063664,0.5857323346268387,0.0,0.44765952697751554,1,0.0
OpenAI,0.016129032258064516,0.0,0.0,0.0,0.0,0.002421128997470638,0.0,0.0,0.0,0.0,0.11502005103900839,0.0,0.006578947368421052,0.05,0.0,0.000265416261169601,0.13739734680985471,0.0,0.018211773485221606,18,-3.0
Nvidia,0.14516129032258066,0.0,0.02586206896551724,0.046511627906976744,1.0,0.0896437324758338,0.0,0.024583005559925868,0.11800954246997412,1.0,0.14710171345242434,0.08396946564885496,0.13157894736842105,0.175,0.6449084667724533,0.6247456427497124,0.5670065878530819,0.0,0.26800456064143086,5,2.0
Microsoft,0.12903225806451613,0.0,0.008620689655172414,0.046511627906976744,0.375,0.014501676437716908,0.0,0.0009099878668284423,0.02153786326448197,0.0003994780844766448,0.0,0.030534351145038167,0.13157894736842105,0.15,0.0013922304873133712,0.11543079586961742,0.024456276509340312,0.0,0.0583281212588833,12,1.0
Apple,0.005376344086021506,0.0,0.0,0.09302325581395349,0.0,0.00021411344875590674,0.0,0.0,1.0,0.0,0.0016405395552314983,0.030534351145038167,0.006578947368421052,0.0,0.05465833126910434,0.0017252056976024065,0.0,0.0,0.06631950491022935,11,1.0
HuggingFace,0.34946236559139787,0.0,0.0,0.046511627906976744,0.0,1.0,0.0,0.0,0.035013984654272426,0.0,0.17025154939846884,0.0916030534351145,0.25,0.425,0.9597176952249683,0.5135235904500701,1.0,0.0,0.2689491037034038,4,6.0
Princeton NLP,0.06451612903225806,0.0,0.0,0.023255813953488372,0.0,0.01321307425344601,0.0,0.0,0.01815761527991744,0.0,0.025701786365293473,0.022900763358778626,0.05263157894736842,0.05,0.001278595702970119,0.09871589085072231,0.03952711849111091,0.0,0.02277213145751965,15,2.0
UKP Lab,0.5483870967741935,0.0,0.0,0.0,0.0,0.07871531930746456,0.0,0.0,0.0,0.0,0.09588042289464091,0.15267175572519084,0.4144736842105263,0.0,0.0281896016814678,0.32693595884784066,0.0,0.0,0.0914029910800736,10,-1.0
Tencent,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.19666761393380097,0.0,0.0,0.007633587786259542,0.019736842105263157,0.0,0.00011853988294799697,0.08217793000594027,0.0,0.0,0.022186542751564748,17,
ByteDance,0.010752688172043012,0.0,0.0,0.0,0.0,0.0015442834454226387,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.006578947368421052,0.0,0.00018966381271679514,0.010976858229799926,0.0,0.0,0.0020931127119257205,22,
