org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,5399,34312,0,457,102814,0,17052333,1213,7,55,0,2,46,0,29,8047,548,4
ShanghaiAILab,487760,157559,0,0,1909597,1347,0,653,51,67,0,0,183,2,0,6913,669,1
Baidu,0,53,0,0,0,0,0,3,0,1,0,0,0,0,0,10,0,2
Baichuan,0,270505,0,0,1101,0,0,55,0,15,0,0,4,0,0,3466,260,1
Zhipu,307377,1895514,307919,0,378479,0,0,324,2,53,3,0,22,0,0,16007,1160,1
Ali,3023191,26862571,14645110,80,11662945,0,4772953,92539,108,311,158,1,79,0,25,62309,4378,1
Huawei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LMSYS,0,390452,0,0,0,0,0,666,0,24,0,0,0,0,0,3520,171,1
Falcon,0,726005,0,0,605,0,0,1171,0,41,0,0,1,0,0,8553,665,1
EleutherAI,0,2693591,0,0,0,39690,0,2677,0,46,0,0,0,1,0,4265,257,1
Meta,10125410,33143072,8082050,209507,2717543,29121090,293751,24505,173,126,182,3,30,8,10,59744,4105,2
Google,9411156,5045610,785,0,13680997,0,6933,43167,54,112,3,0,76,0,2,25767,1925,2
Deepseek,0,10488738,0,0,404636,0,0,4130,0,53,0,0,11,0,0,42262,1413,1
OpenBMB,0,38065,0,0,602445,0,3102,128,0,25,0,0,16,0,2,7200,453,1
01-AI,0,166748,0,0,577,0,0,1083,0,26,0,0,2,0,0,4483,264,1
Ai2,0,267672,0,0,514454,0,280429,776,0,85,0,0,7,0,8,4558,380,1
OpenAI,2754,0,0,7362,88491792,0,0,7440,5,0,0,2,16,0,0,13497,833,1
Nvidia,1551914,1706355,2467111,1179,44501,0,50691,1387,69,74,62,3,14,0,3,12757,801,1
Microsoft,6883174,6549530,1891823,0,6181088,0,0,9476,61,67,20,0,70,0,0,33428,2074,1
Apple,972700,1686059,0,0,491652,0,0,182,38,10,0,0,20,0,0,3162,263,1
HuggingFace,3404,3144832,0,0,733850,0,0,3273,1,44,0,0,12,0,0,7797,372,1
Princeton NLP,0,240349,0,0,0,0,0,735,0,62,0,0,0,0,0,527,139,1
UKP Lab,0,0,0,0,182192,0,145244754,1546,0,0,0,0,1,0,106,8102,545,1
Tencent,56142,449,0,495664,160402,0,0,163,13,3,0,6,11,0,0,6336,211,1
ByteDance,128,8301,0,0,449734,0,0,102,1,6,0,0,17,0,0,6246,274,2
