org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,117,4,9,13,1,66606,1598,2363,39204,16028,353,102,40,2,70663,54442,694,24
ShanghaiAILab,48,4,116,43,2,11452,8,38296,33295,600,482,124,84,5,57600,24524,1527,0
Baidu,19,0,0,0,0,284,0,0,0,0,1,11,7,1,0,266,18,0
Baichuan,0,0,1,0,0,0,0,43,0,0,0,0,1,0,0,43,0,0
Zhipu,10,0,2,2,0,4934,0,703,1254,0,132,0,10,4,0,4593,2298,0
Ali,51,6,36,11,0,4117,566,6478,340,0,0,20,84,0,3743,7758,0,105
Huawei,4,0,0,2,0,491,0,0,0,0,6,2,4,0,128,363,0,0
LMSYS,4,0,0,0,0,14269,0,0,0,0,403,0,2,2,0,10661,3608,0
Falcon,1,0,0,3,0,26333,0,0,799,0,417,1,3,0,26333,799,0,0
EleutherAI,186,0,8,0,0,238060,0,198,0,0,640,42,152,0,188302,49956,0,0
Meta,30,6,16,19,3,88560,16219,19480,19225,51,1107,26,44,4,58946,84408,181,0
Google,122,44,45,19,7,127439,34813,342,10694,0,2795,131,100,6,15046,158242,0,0
Deepseek,1,0,0,0,0,627,0,0,0,0,17,0,1,0,0,627,0,0
OpenBMB,6,0,0,4,0,17821,0,0,4358,0,305,3,1,6,16075,47,6057,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,164,0,6,12,0,960281,0,300004,16719,0,5486,61,81,40,1223217,40806,12981,0
OpenAI,3,0,0,0,0,3087,0,0,0,0,631,0,1,2,0,42,3045,0
Nvidia,27,0,3,2,8,114298,0,7375,7890,771006,807,11,20,7,788863,98861,12566,0
Microsoft,24,0,1,2,3,18490,0,273,1440,308,0,4,20,6,1703,18266,542,0
Apple,1,0,0,4,0,273,0,0,66859,0,9,4,1,0,66859,273,0,0
HuggingFace,65,0,0,2,0,1275025,0,0,2341,0,934,12,38,17,1173943,81261,22162,0
Princeton NLP,12,0,0,1,0,16847,0,0,1214,0,141,3,8,2,1564,15621,876,0
UKP Lab,102,0,0,0,0,100364,0,0,0,0,526,20,63,0,34482,51735,0,0
Tencent,0,0,0,4,0,0,0,0,13149,0,0,1,3,0,145,13004,0,0
ByteDance,2,0,0,0,0,1969,0,0,0,0,0,1,1,0,232,1737,0,0
