org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
01-AI,0.0,-55801.0,0.0,0.0,64.0,0.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-8.0,0.0
Ai2,0.0,-340546.0,0.0,0.0,-1096364.0,0.0,-10761.0,-15.0,0.0,-6.0,0.0,0.0,-1.0,0.0,1.0,105.0,-11.0,0.0
Ali,218375.0,5000774.0,-3587887.0,-65.0,2857454.0,0.0,-3650391.0,2779.0,-3.0,32.0,-5.0,-1.0,3.0,0.0,3.0,5132.0,467.0,0.0
Apple,57600.0,148112.0,0.0,0.0,-290615.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,0.0
BAAI,-206.0,-12188.0,0.0,-223.0,37344.0,0.0,1073603.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,10.0,0.0
Baichuan,0.0,98508.0,0.0,0.0,670.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,3.0,0.0
Baidu,0.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ByteDance,,,,,,,,,,,,,,,,,,
Deepseek,0.0,-2763901.0,0.0,0.0,-313626.0,0.0,0.0,319.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2409.0,129.0,0.0
EleutherAI,0.0,427165.0,0.0,0.0,0.0,-20837.0,0.0,-180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0
Falcon,0.0,-86108.0,0.0,0.0,312.0,0.0,0.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,0.0
Google,-11412529.0,-3666230.0,-1509.0,0.0,4200649.0,0.0,5696.0,973.0,2.0,5.0,0.0,0.0,-5.0,0.0,0.0,1220.0,54.0,0.0
Huawei,0.0,-7250.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,-5.0,-9.0,0.0
HuggingFace,-11621.0,-6291.0,0.0,0.0,445447.0,0.0,0.0,92.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,158.0,4.0,0.0
LMSYS,0.0,-1308798.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Meta,-5484966.0,-772684.0,-3270624.0,165669.0,-807345.0,8180855.0,-5638963.0,1823.0,-7.0,-1.0,-24.0,2.0,4.0,0.0,-1.0,1867.0,168.0,0.0
Microsoft,-619779.0,209265.0,-5471709.0,0.0,-2091362.0,0.0,0.0,275.0,-2.0,5.0,1.0,0.0,-6.0,0.0,0.0,2472.0,122.0,0.0
Nvidia,200331.0,556439.0,-631526.0,555.0,17916.0,0.0,-53151.0,174.0,-1.0,20.0,-4.0,1.0,1.0,0.0,0.0,2064.0,102.0,0.0
OpenAI,-1065.0,0.0,0.0,2112.0,-4233549.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,368.0,14.0,0.0
OpenBMB,0.0,-13322.0,0.0,0.0,-761101.0,0.0,-1519.0,-8.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-70.0,-14.0,0.0
Princeton NLP,0.0,82627.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ShanghaiAILab,276629.0,-56537.0,0.0,0.0,845453.0,-9653.0,0.0,83.0,0.0,2.0,0.0,0.0,41.0,-1.0,0.0,470.0,72.0,0.0
Tencent,,,,,,,,,,,,,,,,,,
UKP Lab,0.0,0.0,0.0,0.0,82522.0,0.0,-34995285.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,263.0,1.0,0.0
Zhipu,99608.0,232237.0,31915.0,0.0,-6156.0,0.0,0.0,132.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,791.0,43.0,0.0
