org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.31546487678572877,1.0,0.5,0.46710030291086807,3,-1.0
ShanghaiAILab,0.5,0.3010299956639812,0.3010299956639812,1.0,0.45068666377598743,5,0.0
Baidu,0.23137821315975915,0.22424382421757544,0.3562071871080222,0.23981246656813146,0.2500215565814398,20,-1.0
Baichuan,0.21533827903669653,0.21533827903669653,0.24465054211822604,0.23981246656813146,0.22430268747219057,25,-2.0
Zhipu,0.2559580248098155,0.27023815442731974,0.24465054211822604,0.43067655807339306,0.290333264713899,13,-1.0
Ali,0.3010299956639812,0.6309297535714575,0.2890648263178879,0.23981246656813146,0.45378275821072883,4,0.0
Huawei,0.22424382421757544,0.22106472945750374,0.3333333333333333,0.23981246656813146,0.24343063541525856,21,-1.0
LMSYS,0.24465054211822604,0.21274605355336318,0.26264953503719357,0.38685280723454163,0.25539850750834175,18,-1.0
Falcon,0.227670248696953,0.23540891336663824,0.24465054211822604,0.3562071871080222,0.25579245300385267,17,-1.0
EleutherAI,0.31546487678572877,0.23981246656813146,0.25,0.24465054211822604,0.2549254697680582,19,-5.0
Meta,0.3333333333333333,1.0,0.6309297535714575,0.3010299956639812,0.7108821804281288,1,0.0
Google,0.6309297535714575,0.5,0.5,0.31546487678572877,0.4910657717261977,2,1.0
Deepseek,0.21810429198553155,0.27894294565112987,0.27894294565112987,0.23981246656813146,0.26228142352636374,15,-2.0
OpenBMB,0.26264953503719357,0.23137821315975915,0.26264953503719357,0.3333333333333333,0.2587945071478329,16,-1.0
01-AI,0.21274605355336318,0.21810429198553155,0.26264953503719357,0.23981246656813146,0.2282534885192138,24,-2.0
Ai2,1.0,0.2559580248098155,0.26264953503719357,0.2890648263178879,0.38659807263075463,6,0.0
OpenAI,0.23540891336663824,0.2890648263178879,0.43067655807339306,0.2559580248098155,0.29820632920058504,12,-4.0
Nvidia,0.38685280723454163,0.38685280723454163,0.31546487678572877,0.26264953503719357,0.35425427346018146,8,2.0
Microsoft,0.27023815442731974,0.43067655807339306,0.38685280723454163,0.27023815442731974,0.3698931317182267,7,0.0
Apple,0.27894294565112987,0.26264953503719357,0.27023815442731974,0.23981246656813146,0.26282369529302696,14,4.0
HuggingFace,0.43067655807339306,0.25,0.2559580248098155,0.6309297535714575,0.34459405607577764,9,0.0
Princeton NLP,0.25,0.227670248696953,0.26264953503719357,0.25,0.24094338018800873,23,-2.0
UKP Lab,0.2890648263178879,0.3333333333333333,0.26264953503719357,0.27894294565112987,0.3051095511677019,10,1.0
Tencent,0.23981246656813146,0.3562071871080222,0.26264953503719357,0.23981246656813146,0.3018160049162538,11,
ByteDance,0.22106472945750374,0.24465054211822604,0.26264953503719357,0.23981246656813146,0.24291305956958448,22,
