org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.000533212976067142,0.0010352691506689542,0.0,0.0009219955453694438,0.0011618478694611586,0.0,0.11740412324978015,0.013107986902819353,0.04046242774566474,0.17684887459807075,0.0,0.3333333333333333,0.25136612021857924,0.0,0.27358490566037735,0.1291466722303359,0.12517131110095933,1.0,0.1368932266989715,8,-3.0
ShanghaiAILab,0.048171876496852964,0.004753904526412035,0.0,0.0,0.021579368626640536,4.625513674110413e-05,0.0,0.0070564842931088514,0.2947976878612717,0.21543408360128619,0.0,0.0,1.0,0.25,0.0,0.11094705419762795,0.1528095020557332,0.25,0.13086645648864859,9,0.0
Baidu,0.0,1.59912756427648e-06,0.0,0.0,0.0,0.0,0.0,3.2418763980591965e-05,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.00016049045884222182,0.0,0.5,0.027967219024110465,21,0.0
Baichuan,0.0,0.008161735882539796,0.0,0.0,1.244183189329017e-05,0.0,0.0,0.0005943440063108527,0.0,0.04823151125401929,0.0,0.0,0.02185792349726776,0.0,0.0,0.055625993034714084,0.05938784833257195,0.25,0.0246595443244065,24,-1.0
Zhipu,0.030356992951396537,0.05719186199758429,0.0210253798025416,0.0,0.004276995543270273,0.0,0.0,0.0035012265099039325,0.011560693641618497,0.17041800643086816,0.016483516483516484,0.0,0.12021857923497267,0.0,0.0,0.25689707746874446,0.26496116948378257,0.25,0.06704952775267775,12,-1.0
Ali,0.2985746750008148,0.810503353461019,1.0,0.0001613996578327254,0.131796912870744,0.0,0.03286144847613567,1.0,0.6242774566473989,1.0,0.8681318681318682,0.16666666666666666,0.43169398907103823,0.0,0.2358490566037736,1.0,1.0,0.25,0.4916953792548495,2,0.0
Huawei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.027777777777777776,22,-2.0
LMSYS,0.0,0.011780802938243021,0.0,0.0,0.0,0.0,0.0,0.007196965603691417,0.0,0.07717041800643087,0.0,0.0,0.0,0.0,0.0,0.05649264151246208,0.039058931018730016,0.25,0.024538875504419855,25,-3.0
Falcon,0.0,0.021905181269859353,0.0,0.0,6.836792275604499e-06,0.0,0.0,0.012654124207091064,0.0,0.13183279742765272,0.0,0.0,0.00546448087431694,0.0,0.0,0.13726748944775233,0.15189584285061672,0.25,0.03950148627053138,18,-2.0
EleutherAI,0.0,0.08127161537711411,0.0,0.0,0.0,0.0013629297529728455,0.0,0.02892834372534823,0.0,0.14790996784565916,0.0,0.0,0.0,0.125,0.0,0.0684491806962076,0.05870260392873458,0.25,0.042312480073668696,17,-2.0
Meta,1.0,1.0,0.551859972373031,0.42267947641951,0.030709548745492688,1.0,0.002022455144920415,0.2648072704481354,1.0,0.40514469453376206,1.0,0.5,0.16393442622950818,1.0,0.09433962264150944,0.9588341973069701,0.9376427592507994,0.5,0.6017763568385354,1,0.0
Google,0.9294592515266048,0.15223724584130283,5.360150930925066e-05,0.0,0.15460187539201375,0.0,4.773322140089135e-05,0.4664735949167378,0.31213872832369943,0.36012861736334406,0.016483516483516484,0.0,0.41530054644808745,0.0,0.018867924528301886,0.41353576529875297,0.4396984924623116,0.5,0.2321681607397435,3,0.0
Deepseek,0.0,0.3164684915146067,0.0,0.0,0.004572582279721491,0.0,0.0,0.04462983174661494,0.0,0.17041800643086816,0.0,0.0,0.060109289617486336,0.0,0.0,0.6782647771589979,0.32275011420740063,0.25,0.10262294960864977,11,-1.0
OpenBMB,0.0,0.0011485054855506454,0.0,0.0,0.006807919541283558,0.0,2.1357053625496173e-05,0.0013832005965052573,0.0,0.08038585209003216,0.0,0.0,0.08743169398907104,0.0,0.018867924528301886,0.11555313036639972,0.10347190497944267,0.25,0.036948416035011804,19,-2.0
