org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,3717,100240,0,263,48987,0,24718591,1372,7,59,0,2,52,0,32,9084,661,4
ShanghaiAILab,163883,450147,0,0,3962002,2551,0,820,53,72,0,0,201,2,0,7253,711,1
Baidu,488927,43691,0,0,140533,0,0,98,44,14,0,0,8,0,0,619,77,2
Baichuan,0,145992,0,0,1645,0,0,59,0,15,0,0,4,0,0,3455,260,1
Zhipu,446949,1569397,242436,0,646438,0,0,433,4,58,3,0,23,0,0,18123,1208,1
Ali,1938221,71218791,15179897,85,15836407,0,8423829,100921,89,404,107,1,77,0,27,74956,5070,1
Huawei,0,8670,0,0,0,0,0,3,0,5,0,0,0,0,0,5,10,2
LMSYS,0,341703,0,0,0,0,0,739,0,30,0,0,0,0,0,3558,177,1
Falcon,0,713477,0,0,1018,0,0,1309,0,62,0,0,1,0,0,8915,726,1
EleutherAI,0,1436200,0,0,0,84791,0,3029,0,52,0,0,0,1,0,4327,259,1
Meta,9137605,36961846,7508587,258113,3302643,6168129,7926285,29002,175,132,160,4,29,8,7,68931,4465,2
Google,14380825,4968644,1958,0,10816411,0,1403,46005,59,159,3,0,75,0,1,30886,2132,2
Deepseek,0,9533868,0,0,444676,0,0,5069,0,51,0,0,11,0,0,47791,1664,1
OpenBMB,1280,678092,74,0,378579,0,1127,168,1,49,1,0,19,0,2,8186,525,1
01-AI,0,303539,0,0,230,0,0,1065,0,25,0,0,2,0,0,4630,284,1
Ai2,31194,764769,0,0,283774,0,356038,936,3,156,0,0,7,0,6,4939,438,1
OpenAI,6195,129005,0,5793,52047678,0,0,8473,5,2,0,2,16,0,0,19207,1007,1
Nvidia,1386717,1276779,3581822,460,1170982,0,40028,1879,59,110,92,2,30,0,10,15383,1025,1
Microsoft,8102378,9080696,1331337,21126,7732301,64,0,10327,62,84,19,2,68,1,0,35995,2222,1
Apple,1470737,1349843,0,0,519319,0,0,216,36,13,0,0,13,0,0,2673,306,1
HuggingFace,1743,4564893,0,0,802319,0,0,3917,1,46,0,0,13,0,0,9229,456,1
Princeton NLP,0,99693,0,0,0,0,0,761,0,47,0,0,0,0,0,540,120,1
UKP Lab,0,0,0,0,127824,0,145771223,1886,0,0,0,0,1,0,103,8748,560,1
Tencent,56164,196271,2572,222665,66273,0,808,257,31,26,1,9,21,0,9,9884,355,1
ByteDance,29772,268419,0,2035,377919,0,0,220,13,24,0,4,26,0,0,9507,410,2
