org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,0,0,0,3,0,-5484,12051,-2209,26889,-167184,435,1,2,0,-140357,4379,41,0
ShanghaiAILab,0,0,0,1,0,-2230,7,48205,12680,-103,545,0,1,0,41580,9681,7298,0
Baidu,0,0,0,0,0,-132,0,0,0,-188,0,0,0,0,0,-132,-188,0
Baichuan,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,-52,0,0
Zhipu,0,0,1,-1,0,6618,0,556,565,0,-134,0,-1,1,0,5525,2214,0
Ali,0,0,0,0,1,2087,-110,-1639,1160,0,0,0,1,0,817,681,0,0
Huawei,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,144,-222,0,0
LMSYS,0,0,0,0,0,1791,0,0,0,0,2,0,0,0,0,1696,95,0
Falcon,0,0,0,0,0,2727,0,0,-98,0,1,0,0,0,2727,-98,0,0
EleutherAI,0,0,0,0,0,8630,0,-28,0,0,9,0,0,0,13520,-4918,0,0
Meta,1,0,0,0,0,19085,-2723,6513,100155,11,21,0,0,1,99480,22856,705,0
Google,0,0,0,1,0,-38838,-22139,163,449,0,51,0,1,0,-2122,-58243,0,0
Deepseek,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,25,0,0
OpenBMB,0,0,0,0,0,10337,0,0,-1457,0,10,0,0,0,7171,4,1705,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,1,0,0,0,0,-117577,0,-139451,-190819,-236,-391,1,0,0,-449289,-6012,7218,0
OpenAI,0,0,0,0,0,133,0,0,0,0,14,0,0,0,0,1,132,0
Nvidia,3,4,0,0,0,-12648,1539,83968,-1045,62415,86,0,7,0,49038,84798,404,0
Microsoft,5,0,0,0,0,14652,0,100,500,-500,0,1,4,0,945,13956,-149,0
Apple,0,0,0,0,0,327,0,0,-54881,0,0,0,0,0,-54881,327,0,0
HuggingFace,3,0,0,0,0,614737,0,0,900,0,176,1,2,0,660353,-6761,-37955,0
Princeton NLP,0,0,0,0,0,-61786,0,0,-291,0,5,0,0,0,-2645,-59629,197,0
UKP Lab,0,0,0,0,0,-74664,0,0,0,0,45,0,0,0,-47931,-30550,-84,0
Tencent,0,0,0,0,0,0,0,0,-2650,0,0,0,0,0,104,-2754,0,0
ByteDance,0,0,0,0,0,-4381,0,0,-12798,0,1,0,0,0,-3983,-13196,0,0
