org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,121,5,9,17,1,54595,13257,1041,54464,14687,810,108,43,2,90239,47126,679,24
ShanghaiAILab,55,4,117,45,2,8114,27,171286,79957,100,545,132,85,6,190070,21873,47541,0
Baidu,15,0,0,0,1,298,0,0,0,51,0,11,4,1,0,298,51,0
Baichuan,0,0,1,0,0,0,0,18,0,0,0,0,1,0,0,18,0,0
Zhipu,10,0,3,2,0,12696,0,935,2008,0,0,0,9,6,0,11530,4109,0
Ali,56,6,36,12,1,7511,293,3121,2788,0,0,20,91,0,4358,9355,0,105
Huawei,4,0,0,2,0,404,0,0,0,0,6,2,4,0,174,230,0,0
LMSYS,4,0,0,0,0,12770,0,0,0,0,421,0,2,2,0,10759,2011,0
Falcon,1,0,0,3,0,12759,0,0,349,0,420,1,3,0,12759,349,0,0
EleutherAI,186,0,8,0,0,110785,0,42,0,0,794,42,152,0,69489,41338,0,0
Meta,31,6,16,20,3,93605,18747,10939,124179,99,1161,27,44,5,146084,100602,883,0
Google,122,44,45,20,7,105714,30403,441,12776,0,2989,131,101,6,19013,130321,0,0
Deepseek,1,0,0,0,0,340,0,0,0,0,20,0,1,0,0,340,0,0
OpenBMB,8,0,0,4,0,66581,0,0,4568,0,354,4,1,7,63079,44,8026,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,166,0,6,12,1,469985,0,176794,23766,151,5341,63,82,40,608130,43231,19335,0
OpenAI,3,0,0,0,0,2226,0,0,0,0,709,0,1,2,0,88,2138,0
Nvidia,37,5,3,3,16,109801,1935,94407,4497,608902,1296,15,39,8,611090,195643,12740,0
Microsoft,32,0,1,2,3,34390,0,249,840,281,0,5,27,6,1374,33863,523,0
Apple,1,0,0,4,0,792,0,0,39030,0,9,4,1,0,39030,792,0,0
HuggingFace,69,0,0,2,0,1197639,0,0,3822,0,5714,13,41,17,1069986,113665,17810,0
Princeton NLP,12,0,0,1,0,17501,0,0,961,0,154,3,8,2,279,17354,829,0
UKP Lab,104,0,0,0,0,48416,0,0,0,0,710,20,64,1,19000,19925,20,0
Tencent,0,0,0,4,0,0,0,0,2842,0,1,1,3,0,300,2542,0,0
ByteDance,3,0,0,3,0,4625,0,0,3327,0,3,3,3,0,2679,5273,0,0
