org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.00025846917683790743,0.0014074937048566298,0.0,0.001018933567855939,0.0009411947253439433,0.0,0.1695711299616386,0.013594791965993202,0.04,0.14603960396039603,0.0,0.2222222222222222,0.25870646766169153,0.0,0.3106796116504854,0.12119109877794973,0.13037475345167654,1.0,0.13422254282371932,8,1
ShanghaiAILab,0.011395938689192031,0.006320621196728824,0.0,0.0,0.07612255055835536,0.0004135776018951614,0.0,0.008125167209995938,0.3028571428571429,0.1782178217821782,0.0,0.0,1.0,0.25,0.0,0.09676343454826832,0.14023668639053255,0.25,0.12891405226857164,9,-2
Baidu,0.033998536245312766,0.0006134757328301178,0.0,0.0,0.00270008202863536,0.0,0.0,0.0009710565689995145,0.25142857142857145,0.034653465346534656,0.0,0.0,0.03980099502487562,0.0,0.0,0.008258178131170286,0.015187376725838263,0.5,0.04931176317959822,15,0
Baichuan,0.0,0.002049908429363818,0.0,0.0,3.160563666260001e-05,0.0,0.0,0.0005846156894997077,0.0,0.03712871287128713,0.0,0.0,0.01990049751243781,0.0,0.0,0.04609370830887454,0.05128205128205128,0.25,0.022615061096120936,24,0
Zhipu,0.031079510389702955,0.02203627691461373,0.01597085935431578,0.0,0.012420112190211444,0.0,0.0,0.004290484636497855,0.022857142857142857,0.14356435643564355,0.01875,0.0,0.11442786069651742,0.0,0.0,0.24178184534927158,0.23826429980276134,0.25,0.061969041590371025,13,0
Ali,0.13477815076673277,1.0,1.0,0.0003293131302956457,0.30426731044562644,0.0,0.057788010737894406,1.0,0.5085714285714286,1.0,0.66875,0.1111111111111111,0.38308457711442784,0.0,0.2621359223300971,1.0,1.0,0.25,0.48226754578931186,2,0
Huawei,0.0,0.00012173753412915982,0.0,0.0,0.0,0.0,0.0,2.972622149998514e-05,0.0,0.012376237623762377,0.0,0.0,0.0,0.0,0.0,6.670580073643204e-05,0.0019723865877712033,0.5,0.02858704409821662,21,0
LMSYS,0.0,0.004797933174687001,0.0,0.0,0.0,0.0,0.0,0.007322559229496339,0.0,0.07425742574257425,0.0,0.0,0.0,0.0,0.0,0.04746784780404504,0.034911242603550295,0.25,0.023264278253019608,23,2
Falcon,0.0,0.010018100419592913,0.0,0.0,1.9558989740137877e-05,0.0,0.0,0.012970541314493515,0.0,0.15346534653465346,0.0,0.0,0.004975124378109453,0.0,0.0,0.11893644271305832,0.14319526627218934,0.25,0.03853224336787984,19,0
EleutherAI,0.0,0.020166026126447443,0.0,0.0,0.0,0.013746632082435371,0.0,0.030013574974484994,0.0,0.12871287128712872,0.0,0.0,0.0,0.125,0.0,0.05772719995730829,0.05108481262327416,0.25,0.03758061761394883,20,0
Meta,0.6354020023190603,0.5189900794581026,0.49464018102362617,1.0,0.06345418521840686,1.0,0.05437482677908245,0.2873732919808563,1.0,0.32673267326732675,1.0,0.4444444444444444,0.14427860696517414,1.0,0.06796116504854369,0.9196195101125993,0.8806706114398422,0.5,0.574330087669837,1,0
Google,1.0,0.06976591332475722,0.00012898638245042112,0.0,0.20781735930659578,0.0,9.624670570267494e-06,0.4558516067022721,0.33714285714285713,0.3935643564356436,0.01875,0.0,0.373134328358209,0.0,0.009708737864077669,0.412055072309088,0.4205128205128205,0.5,0.23324675905607453,3,0
Deepseek,0.0,0.13386731038441807,0.0,0.0,0.00854362801737284,0.0,0.0,0.05022740559447489,0.0,0.12623762376237624,0.0,0.0,0.05472636815920398,0.0,0.0,0.6375873845989647,0.3282051282051282,0.25,0.08829971381788548,11,0
OpenBMB,8.900741091001386e-05,0.009521251210231861,4.874868386788132e-06,0.0,0.007273696244431884,0.0,7.731292753165691e-06,0.0016646684039991677,0.005714285714285714,0.12128712871287128,0.00625,0.0,0.0945273631840796,0.0,0.019417475728155338,0.10921073696568653,0.10355029585798817,0.25,0.04047325086632108,18,-1
01-AI,0.0,0.004262063364709463,0.0,0.0,4.419025186868087e-06,0.0,0.0,0.010552808632494724,0.0,0.06188118811881188,0.0,0.0,0.009950248756218905,0.0,0.0,0.06176957148193607,0.05601577909270217,0.25,0.025246448804003337,22,0
Ai2,0.002169138418692947,0.010738303603047684,0.0,0.0,0.005452193275557845,0.0,0.002442443663932215,0.009274581107995363,0.017142857142857144,0.38613861386138615,0.0,0.0,0.03482587064676617,0.0,0.05825242718446602,0.06589198996744756,0.0863905325443787,0.25,0.05159549730091821,14,0
OpenAI,0.00043078196139651235,0.001811389918146743,0.0,0.022443658397678538,1.0,0.0,0.0,0.08395675825645803,0.02857142857142857,0.0049504950495049506,0.0,0.2222222222222222,0.07960199004975124,0.0,0.0,0.25624366294893003,0.19861932938856017,0.25,0.11938065093133761,10,0
Nvidia,0.09642819518351695,0.01792755791094516,0.23595825452570593,0.001782165175717612,0.02249825631030072,0.0,0.00027459466399619903,0.018618523399490692,0.33714285714285713,0.2722772277227723,0.575,0.2222222222222222,0.14925373134328357,0.0,0.0970873786407767,0.20522706654570683,0.20216962524654833,0.25,0.1502148697796578,6,0
Microsoft,0.5634153812455127,0.12750421444250576,0.08770395477650474,0.0818478728308919,0.14856188204976215,1.0375917883688879e-05,0.0,0.10232756314344883,0.35428571428571426,0.2079207920792079,0.11875,0.2222222222222222,0.3383084577114428,0.125,0.0,0.4802150595015743,0.4382642998027613,0.25,0.2025743216671907,4,0
Apple,0.10227069726528207,0.018953466929816316,0.0,0.0,0.009977755395735425,0.0,0.0,0.00214028794799893,0.2057142857142857,0.03217821782178218,0.0,0.0,0.06467661691542288,0.0,0.0,0.03566092107369657,0.06035502958579882,0.25,0.04344040436943438,16,0
HuggingFace,0.00012120306032512043,0.0640967494098573,0.0,0.0,0.015415077690881811,0.0,0.0,0.038812536538480595,0.005714285714285714,0.11386138613861387,0.0,0.0,0.06467661691542288,0.0,0.0,0.12312556699930625,0.08994082840236686,0.25,0.042542458381641134,17,1
Princeton NLP,0.0,0.0013998131476284116,0.0,0.0,0.0,0.0,0.0,0.00754055152049623,0.0,0.11633663366336634,0.0,0.0,0.0,0.0,0.0,0.0072042264795346605,0.023668639053254437,0.25,0.022563881325793338,25,-2
UKP Lab,0.0,0.0,0.0,0.0,0.002455902067331419,0.0,1.0,0.018687884582990658,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,1.0,0.1167084689684615,0.11045364891518737,0.25,0.13907116827289337,7,1
Tencent,0.0039054783018359516,0.0027558878386464043,0.0001694346147407983,0.8626648018503523,0.0012733132878665597,0.0,5.542932160211073e-06,0.002546546308498727,0.17714285714285713,0.06435643564356436,0.00625,1.0,0.1044776119402985,0.0,0.08737864077669903,0.13186402689577886,0.07001972386587771,0.25,0.15360057229995425,5,0
ByteDance,0.0020702567481351037,0.0037689350834388636,0.0,0.007884143766489871,0.007261015563460872,0.0,0.0,0.00217992290999891,0.07428571428571429,0.0594059405940594,0.0,0.4444444444444444,0.12935323383084577,0.0,0.0,0.12683440952025188,0.08086785009861933,0.5,0.07990865926919215,12,0
