org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,5933,79384,0,525,57013,0,17021159,921,7,52,0,2,36,0,29,6774,461,4
ShanghaiAILab,104237,145814,0,0,743753,1786,0,415,39,49,0,0,119,3,0,5120,469,1
Baidu,0,90,0,0,62,0,0,3,0,1,0,0,1,0,0,11,0,2
Baichuan,0,171174,0,0,0,0,0,48,0,11,0,0,0,0,0,3365,216,1
Zhipu,0,1354696,103545,0,676209,0,0,140,0,50,3,0,22,0,0,14852,1046,1
Ali,1444149,11426304,12857054,339,7747424,0,3326008,79759,119,273,150,3,69,0,21,42317,2951,1
Huawei,0,3859,0,0,0,0,0,2,0,6,0,0,0,0,0,5,7,2
LMSYS,0,482513,0,0,0,0,0,201,0,18,0,0,0,0,0,3477,165,1
Falcon,0,618084,0,0,824,0,0,876,0,53,0,0,1,0,0,8371,657,1
EleutherAI,0,1314216,0,0,0,9876,0,1555,0,46,0,0,0,1,0,4108,252,1
Meta,13086484,23206038,10777273,118,3235362,13626096,457349,17886,182,114,149,1,27,8,9,52303,3245,2
Google,9593762,4579285,1937,0,6266851,0,1484,39679,36,92,3,0,53,0,2,19985,1561,2
