org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.0004533685289341278,0.0034208338364351554,0.0,1.0,0.007358962153097597,0.0,1.0,0.011547286199676526,0.038461538461538464,0.19047619047619047,0.0,0.6666666666666666,0.3025210084033613,0.0,1.0,0.1295145593942986,0.14206471494607087,1.0,0.3051380627259039,3,1
ShanghaiAILab,0.00796524108385415,0.006283450884636145,0.0,0.0,0.09600003820624765,0.00013107202532552245,0.0,0.0052031745633721585,0.21428571428571427,0.1794871794871795,0.0,0.0,1.0,0.375,0.0,0.09789113435175803,0.1445300462249615,0.25,0.1320431695062805,5,0
Baidu,0.0,3.878300983562985e-06,0.0,0.0,8.002659980917528e-06,0.0,0.0,3.761331009666621e-05,0.0,0.003663003663003663,0.0,0.0,0.008403361344537815,0.0,0.0,0.00021031298395885514,0.0,0.5,0.02846256512569786,10,0
Baichuan,0.0,0.007376269917337893,0.0,0.0,0.0,0.0,0.0,0.0006018129615466593,0.0,0.040293040293040296,0.0,0.0,0.0,0.0,0.0,0.0643366537292316,0.06656394453004623,0.25,0.023842873412844592,12,0
Zhipu,0.0,0.05837687588032046,0.008053555659017999,0.0,0.08728178553284292,0.0,0.0,0.0017552878045110896,0.0,0.18315018315018314,0.02,0.0,0.18487394957983194,0.0,0.0,0.28396076706881057,0.3223420647149461,0.25,0.07776635941058135,6,0
Ali,0.1103542402986165,0.4923849560187741,1.0,0.6457142857142857,1.0,0.0,0.1954043199995958,1.0,0.6538461538461539,1.0,1.0,1.0,0.5798319327731093,0.0,0.7241379310344828,0.8090740492897157,0.9093990755007704,0.25,0.6316748302486391,2,-1
Huawei,0.0,0.00016629292772855065,0.0,0.0,0.0,0.0,0.0,2.5075540064444137e-05,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,9.55968108903887e-05,0.0021571648690292757,0.5,0.029134564006985258,9,0
LMSYS,0.0,0.02079256269424363,0.0,0.0,0.0,0.0,0.0,0.002520091776476636,0.0,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0664780222931763,0.05084745762711865,0.25,0.025365122240282287,11,0
Falcon,0.0,0.026634619834717155,0.0,0.0,0.0001063579326496136,0.0,0.0,0.010983086548226533,0.0,0.19413919413919414,0.0,0.0,0.008403361344537815,0.0,0.0,0.16004818079268876,0.2024653312788906,0.25,0.047376673992828036,7,1
EleutherAI,0.0,0.05663250228238013,0.0,0.0,0.0,0.0007247857346667747,0.0,0.019496232400105316,0.0,0.1684981684981685,0.0,0.0,0.0,0.125,0.0,0.07854233982754336,0.07765793528505392,0.25,0.04314177577932878,8,-1
Meta,1.0,1.0,0.838238137601351,0.22476190476190477,0.4176048709867951,1.0,0.026869439384239347,0.22425055479632391,1.0,0.4175824175824176,0.9933333333333333,0.3333333333333333,0.226890756302521,1.0,0.3103448275862069,1.0,1.0,0.5,0.6396227542038014,1,1
Google,0.7331046291731225,0.19733161688350248,0.0001506565967600354,0.0,0.8088948016785966,0.0,8.71856023435302e-05,0.4974861771085395,0.1978021978021978,0.336996336996337,0.02,0.0,0.44537815126050423,0.0,0.06896551724137931,0.38210045312888363,0.4810477657935285,0.5,0.25940808273698307,4,-1
