org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,-16102,-13945,0,-1106,-15349,0,-6443597,68,2,0,0,0,3,0,0,104,-29,0
ShanghaiAILab,-16973,-57534,0,0,-65091,100,0,94,0,2,0,0,31,-1,0,675,39,0
Baidu,0,90,0,0,62,0,0,3,0,1,0,0,1,0,0,11,0,0
Baichuan,0,13845,0,0,0,0,0,1,0,1,0,0,0,0,0,92,-28,0
Zhipu,0,-77526,56156,0,-36249,0,0,0,0,-3,0,0,1,0,0,293,12,0
Ali,-2488289,-31275063,740763,-765,949048,0,-1725117,3312,-5,1,2,-3,-12,0,0,2736,-49,0
Huawei,0,-2913,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
LMSYS,0,-257877,0,0,0,0,0,65,0,0,0,0,0,0,0,24,1,0
Falcon,0,18263,0,0,-4459,0,0,377,0,33,0,0,0,0,0,393,101,0
EleutherAI,0,-618436,0,0,0,-10474,0,143,0,-1,0,0,0,0,0,59,3,0
Meta,-625999,-7601647,-578023,-77,-1130695,8297630,-237972,2120,2,-5,-26,0,-1,0,1,2324,120,0
Google,-6840588,-2485179,-417,0,-764088,0,728,384,3,-3,0,0,-11,0,1,723,-26,0
