org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.3010299956639812,1.0,0.5,0.45988286234999426,4,1.0
ShanghaiAILab,0.5,0.3333333333333333,0.3010299956639812,1.0,0.46683833261066354,3,0.0
Baidu,0.23137821315975915,0.23540891336663824,0.3562071871080222,0.21810429198553155,0.25198607205887125,16,-1.0
Baichuan,0.20584683246043448,0.20801459767650948,0.24465054211822604,0.21810429198553155,0.21544090993228676,32,-7.0
Zhipu,0.24465054211822604,0.26264953503719357,0.24465054211822604,0.43067655807339306,0.2846543745702376,13,0.0
Ali,0.3010299956639812,0.6309297535714575,0.3333333333333333,0.21810429198553155,0.4575428136162031,5,-1.0
Huawei,0.21274605355336318,0.21533827903669653,0.31546487678572877,0.21810429198553155,0.23205500990578548,26,-4.0
LMSYS,0.227670248696953,0.2103099178571525,0.2559580248098155,0.3562071871080222,0.245127535697708,20,-2.0
Falcon,0.21810429198553155,0.22106472945750374,0.24465054211822604,0.31546487678572877,0.24023564987699958,23,-4.0
EleutherAI,0.31546487678572877,0.23981246656813146,0.25,0.22106472945750374,0.25099450099127113,18,-2.0
Meta,0.3333333333333333,1.0,0.6309297535714575,0.27894294565112987,0.7072010054259869,1,0.0
Google,0.6309297535714575,0.5,0.5,0.2890648263178879,0.48666576331489086,2,0.0
Deepseek,0.20801459767650948,0.27023815442731974,0.27023815442731974,0.21810429198553155,0.2511785845618867,17,0.0
OpenBMB,0.27023815442731974,0.24465054211822604,0.2559580248098155,0.3010299956639812,0.26019630020929907,14,0.0
01-AI,0.20184908658209985,0.21810429198553155,0.2559580248098155,0.21810429198553155,0.2217040465556736,29,-5.0
Ai2,1.0,0.27894294565112987,0.2559580248098155,0.26264953503719357,0.3925727328000664,6,0.0
OpenAI,0.22424382421757544,0.2890648263178879,0.43067655807339306,0.227670248696953,0.29163085165693087,11,0.0
Nvidia,0.43067655807339306,0.3562071871080222,0.2890648263178879,0.23137821315975915,0.3366235264791845,8,0.0
Microsoft,0.2559580248098155,0.43067655807339306,0.38685280723454163,0.23540891336663824,0.36170823660519574,7,0.0
Apple,0.23981246656813146,0.23137821315975915,0.27894294565112987,0.21810429198553155,0.23849905728067838,24,-4.0
HuggingFace,0.38685280723454163,0.227670248696953,0.26264953503719357,0.6309297535714575,0.32724047365567527,9,0.0
Princeton NLP,0.23540891336663824,0.21274605355336318,0.2559580248098155,0.22424382421757544,0.22564148717568644,27,-4.0
UKP Lab,0.26264953503719357,0.31546487678572877,0.2559580248098155,0.25,0.2858336983673659,12,0.0
Tencent,0.21533827903669653,0.38685280723454163,0.2559580248098155,0.21810429198553155,0.30832650292261143,10,0.0
ByteDance,0.22106472945750374,0.2559580248098155,0.2559580248098155,0.21810429198553155,0.24383352011371623,21,0.0
MistralAI,0.2037950470905062,0.25,0.2559580248098155,0.23981246656813146,0.24159425641140886,22,
StanfordNLP,0.25,0.19823986317056053,0.2559580248098155,0.38685280723454163,0.24792173692600644,19,
Moonshot,0.20184908658209985,0.20584683246043448,0.2559580248098155,0.27023815442731974,0.2242642938667564,28,
MLFoundations,0.2890648263178879,0.2,0.2559580248098155,0.27023815442731974,0.2358768342591705,25,
Salesforce,0.27894294565112987,0.22424382421757544,0.2559580248098155,0.3333333333333333,0.25682762940783416,15,
Meituan,0.2103099178571525,0.20184908658209985,0.2559580248098155,0.24465054211822604,0.21941095742191558,31,
Xiaomi,0.20184908658209985,0.2037950470905062,0.2559580248098155,0.2559580248098155,0.22085837957887489,30,
