org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
01-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ai2,10.0,1.0,3.0,2.0,0.0,126185.0,159.0,3941754.0,21434.0,175.0,73.0,1.0,4.0,5.0,4039893.0,51356.0,-3326.0,0.0
Ali,2.0,0.0,0.0,0.0,0.0,-3482.0,428.0,-497.0,-1005.0,7279.0,4.0,0.0,2.0,0.0,-947.0,3670.0,0.0,0.0
Apple,0.0,0.0,0.0,0.0,0.0,-198.0,0.0,0.0,153944.0,0.0,1.0,0.0,0.0,0.0,153944.0,-198.0,0.0,0.0
BAAI,1.0,1.0,32.0,7.0,0.0,-12545.0,-12157.0,51.0,-28667.0,3528.0,-436.0,41.0,0.0,0.0,-30743.0,-18958.0,-89.0,0.0
Baichuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
Baidu,0.0,0.0,0.0,0.0,0.0,-53.0,0.0,0.0,0.0,-31.0,1.0,0.0,0.0,0.0,0.0,-53.0,-31.0,0.0
ByteDance,0.0,0.0,2.0,0.0,0.0,-1754.0,0.0,6620.0,1824.0,0.0,2.0,1.0,0.0,0.0,5389.0,67.0,0.0,0.0
Deepseek,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0
EleutherAI,-1.0,0.0,0.0,0.0,0.0,6569.0,0.0,-3.0,0.0,0.0,65.0,-2.0,-1.0,0.0,5479.0,742.0,0.0,0.0
Falcon,0.0,0.0,0.0,0.0,0.0,-2089.0,0.0,0.0,314.0,0.0,5.0,0.0,0.0,0.0,-2089.0,314.0,0.0,0.0
Google,7.0,0.0,0.0,0.0,0.0,54109.0,14525.0,-2.0,4416.0,0.0,263.0,1.0,2.0,0.0,3568.0,58356.0,0.0,0.0
Huawei,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,-55.0,0.0,0.0
HuggingFace,3.0,0.0,0.0,0.0,0.0,-520469.0,0.0,0.0,-941.0,0.0,20.0,1.0,1.0,0.0,-544226.0,377.0,22015.0,0.0
LMSYS,-1.0,0.0,0.0,0.0,0.0,3383.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.0,4004.0,-621.0,0.0
MLFoundations,,,,,,,,,,,,,,,,,,
Meituan,,,,,,,,,,,,,,,,,,
Meta,3.0,0.0,0.0,0.0,0.0,49568.0,-4786.0,2384.0,-88271.0,7.0,13.0,1.0,1.0,0.0,-89184.0,48127.0,-93.0,0.0
Microsoft,2.0,0.0,0.0,0.0,0.0,5448.0,0.0,-75.0,-466.0,334.0,2026.0,0.0,0.0,0.0,2931.0,1700.0,-12.0,0.0
MistralAI,,,,,,,,,,,,,,,,,,
Moonshot,,,,,,,,,,,,,,,,,,
Nvidia,5.0,1.0,3.0,3.0,0.0,81066.0,24311.0,-44986.0,5040.0,-97502.0,218.0,8.0,3.0,0.0,-15352.0,-33106.0,8075.0,0.0
OpenAI,2.0,0.0,0.0,0.0,0.0,6712.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,23.0,1135.0,0.0
OpenBMB,3.0,0.0,0.0,7.0,0.0,-33996.0,0.0,0.0,1672.0,0.0,-3.0,-2.0,6.0,-2.0,-50094.0,17595.0,-2247.0,0.0
Princeton NLP,0.0,0.0,0.0,0.0,0.0,1173.0,0.0,0.0,-140.0,0.0,-3.0,0.0,0.0,0.0,-25.0,1426.0,-368.0,0.0
Salesforce,,,,,,,,,,,,,,,,,,
ShanghaiAILab,0.0,0.0,0.0,0.0,0.0,-1728.0,-10.0,-90717.0,-25285.0,207.0,67.0,0.0,0.0,0.0,-126371.0,18408.0,-9570.0,0.0
StanfordNLP,,,,,,,,,,,,,,,,,,
Tencent,1.0,0.0,0.0,0.0,0.0,1330.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,206.0,-91.0,0.0,0.0
UKP Lab,-1.0,0.0,0.0,0.0,0.0,-7259.0,0.0,0.0,0.0,0.0,36.0,0.0,-1.0,0.0,-4549.0,-1826.0,-2.0,0.0
Xiaomi,,,,,,,,,,,,,,,,,,
Zhipu,-1.0,0.0,0.0,0.0,0.0,-2468.0,0.0,32.0,-761.0,0.0,135.0,0.0,-1.0,0.0,0.0,-1778.0,-1419.0,0.0
