org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,2273,151070,0,141,114501,0,22939093,1448,3,49,0,1,39,0,31,9971,689,4
ShanghaiAILab,186132,542723,0,0,4928455,2768,0,1040,22,72,0,0,165,2,0,8003,859,1
Baidu,728637,1464926,0,0,495798,0,0,151,45,21,0,0,10,0,0,810,140,2
Baichuan,0,268723,0,0,1641,0,0,68,0,17,0,0,4,0,0,3706,277,1
Zhipu,170529,1824886,294062,0,1378187,0,0,512,4,74,3,0,30,0,0,20747,1368,1
Ali,3109126,67764547,45223311,345,18721890,0,9216309,104014,99,346,112,2,86,0,29,88307,6082,1
Huawei,0,9317,0,0,0,0,0,3,0,5,0,0,0,0,0,5,10,2
LMSYS,0,456654,0,0,0,0,0,735,0,31,0,0,0,0,0,3580,191,1
Falcon,0,624868,0,0,1349,0,0,1327,0,57,0,0,1,0,0,8961,719,1
EleutherAI,0,1357766,0,0,0,54930,52,3093,0,89,0,0,0,1,1,4424,285,1
Meta,8487790,44000475,7429392,317572,2982966,12049530,8132225,30521,189,133,159,4,31,8,5,70749,4618,2
Google,17243118,22618981,3779,0,11941008,0,36502,47124,56,161,4,0,89,0,4,33759,2280,2
Deepseek,0,13601110,0,0,866830,0,0,5361,0,65,0,0,11,0,0,50097,1781,1
OpenBMB,0,700399,0,0,555641,0,986,220,0,54,0,0,35,0,2,9938,612,1
01-AI,0,245526,0,0,310,0,0,1063,0,26,0,0,2,0,0,4538,278,1
Ai2,75236,666158,0,0,309252,0,334833,1087,3,448,0,0,9,0,10,5363,550,1
OpenAI,7668,12003235,0,3225,44562909,0,0,9050,5,2,0,2,16,0,0,21923,1144,1
Nvidia,1168944,1009838,3882286,384,1333931,563,140467,2033,77,140,96,3,33,3,10,17564,1186,1
Microsoft,5986744,8534393,1530905,13564,6633614,1434,0,10592,64,99,20,2,78,9,0,38496,2325,1
Apple,1408981,422205,0,0,665070,0,0,215,35,13,0,0,25,0,0,4049,351,1
HuggingFace,2148,2803101,0,0,712011,0,0,4029,1,64,0,0,13,0,0,9154,613,1
Princeton NLP,0,118774,0,0,0,0,0,747,0,42,0,0,0,0,0,539,110,1
UKP Lab,0,0,0,0,111418,0,144799506,1942,0,0,0,0,1,0,103,8992,577,1
Tencent,49978,39948,1101,256256,55575,0,287,330,18,35,1,7,13,0,2,12092,439,1
ByteDance,18329,437483,0,1988,475692,0,0,294,5,24,0,4,18,0,0,10407,466,2
MistralAI,0,3600584,0,0,495060,0,0,10995,0,30,0,0,5,0,0,31456,1843,1
StanfordNLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moonshot,196,663954,0,0,233618,0,0,119,1,6,0,0,5,0,0,4724,176,1
MLFoundations,0,11187,0,0,0,0,0,15,0,1,0,0,0,0,0,25,4,1
Salesforce,0,1672668,0,0,4904501,0,176963,559,0,53,0,0,25,0,7,6301,595,1
Meituan,0,38099,0,0,0,0,0,5,0,4,0,0,0,0,0,520,42,1
Xiaomi,0,42762,0,0,110999,0,0,8,0,5,0,0,6,0,0,770,50,1
