org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.3010299956639812,1.0,0.5,0.45988286234999426,4,1.0
ShanghaiAILab,0.43067655807339306,0.2890648263178879,0.3010299956639812,1.0,0.4331501721151729,5,-3.0
Baidu,0.227670248696953,0.24465054211822604,0.3562071871080222,0.21810429198553155,0.2559888923575308,15,-1.0
Baichuan,0.20584683246043448,0.2103099178571525,0.24465054211822604,0.21810429198553155,0.21658857002260823,32,-7.0
Zhipu,0.23981246656813146,0.25,0.24465054211822604,0.43067655807339306,0.27752326112662506,13,0.0
Ali,0.31546487678572877,0.6309297535714575,0.3333333333333333,0.21810429198553155,0.4599486271364944,3,1.0
Huawei,0.21274605355336318,0.21810429198553155,0.31546487678572877,0.21810429198553155,0.233438016380203,26,-4.0
LMSYS,0.22424382421757544,0.21274605355336318,0.2559580248098155,0.3562071871080222,0.24577453279925043,20,-3.0
Falcon,0.21810429198553155,0.22106472945750374,0.24465054211822604,0.31546487678572877,0.24023564987699958,23,-4.0
EleutherAI,0.3010299956639812,0.22424382421757544,0.25,0.22106472945750374,0.24080436629570184,22,-1.0
Meta,0.3333333333333333,1.0,0.6309297535714575,0.27894294565112987,0.7072010054259869,1,0.0
Google,0.6309297535714575,0.5,0.5,0.2890648263178879,0.48666576331489086,2,1.0
Deepseek,0.20801459767650948,0.27023815442731974,0.27023815442731974,0.21810429198553155,0.2511785845618867,17,-1.0
OpenBMB,0.24465054211822604,0.23540891336663824,0.2559580248098155,0.3010299956639812,0.25131088378198957,16,-1.0
01-AI,0.20184908658209985,0.21533827903669653,0.2559580248098155,0.21810429198553155,0.22032104008125608,30,-6.0
Ai2,1.0,0.27894294565112987,0.2559580248098155,0.26264953503719357,0.3925727328000664,6,5.0
OpenAI,0.23137821315975915,0.31546487678572877,0.43067655807339306,0.227670248696953,0.3060199417145486,10,2.0
Nvidia,0.5,0.38685280723454163,0.2890648263178879,0.23137821315975915,0.363500243530212,7,0.0
Microsoft,0.26264953503719357,0.43067655807339306,0.38685280723454163,0.23540891336663824,0.36282348830975875,8,-2.0
Apple,0.25,0.23137821315975915,0.27894294565112987,0.21810429198553155,0.24019697951932312,24,-4.0
HuggingFace,0.38685280723454163,0.227670248696953,0.26264953503719357,0.6309297535714575,0.32724047365567527,9,-1.0
Princeton NLP,0.23540891336663824,0.20584683246043448,0.2559580248098155,0.22424382421757544,0.22219187662922207,28,-5.0
UKP Lab,0.27023815442731974,0.3333333333333333,0.2559580248098155,0.25,0.2960326965395225,11,-1.0
Tencent,0.21533827903669653,0.3562071871080222,0.2559580248098155,0.21810429198553155,0.2930036928593517,12,-3.0
ByteDance,0.22106472945750374,0.26264953503719357,0.2559580248098155,0.21810429198553155,0.24717927522740524,19,-1.0
MistralAI,0.2037950470905062,0.2559580248098155,0.2559580248098155,0.23981246656813146,0.24457326881631658,21,
StanfordNLP,0.2559580248098155,0.19823986317056053,0.2559580248098155,0.38685280723454163,0.24891474106097566,18,
Moonshot,0.20184908658209985,0.20801459767650948,0.2559580248098155,0.27023815442731974,0.22534817647479394,27,
MLFoundations,0.27894294565112987,0.2,0.2559580248098155,0.27023815442731974,0.23418985414804416,25,
Salesforce,0.2890648263178879,0.23981246656813146,0.2559580248098155,0.3333333333333333,0.2662989306942385,14,
Meituan,0.2103099178571525,0.20184908658209985,0.2559580248098155,0.24465054211822604,0.21941095742191558,31,
Xiaomi,0.20184908658209985,0.2037950470905062,0.2559580248098155,0.2559580248098155,0.22085837957887489,29,
