org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,5605,46500,0,680,65470,0,15978730,1109,7,55,0,2,46,0,29,7804,538,4
ShanghaiAILab,211131,214096,0,0,1064144,11000,0,570,51,65,0,0,142,3,0,6443,597,1
Baidu,0,136,0,0,0,0,0,3,0,1,0,0,0,0,0,8,0,2
Baichuan,0,171997,0,0,431,0,0,50,0,15,0,0,2,0,0,3437,257,1
Zhipu,207769,1663277,276004,0,384635,0,0,192,2,47,3,0,21,0,0,15216,1117,1
Ali,2804816,21861797,18232997,145,8805491,0,8423344,89760,111,279,163,2,76,0,22,57177,3911,1
Huawei,0,7250,0,0,0,0,0,2,0,5,0,0,0,0,0,5,9,2
LMSYS,0,1699250,0,0,0,0,0,733,0,23,0,0,0,0,0,3518,170,1
Falcon,0,812113,0,0,293,0,0,1280,0,41,0,0,1,0,0,8515,662,1
EleutherAI,0,2266426,0,0,0,60527,0,2857,0,45,0,0,0,1,0,4213,254,1
Meta,15610376,33915756,11352674,43838,3524888,20940235,5932714,22682,180,127,206,1,26,8,11,57877,3937,2
Google,20823685,8711840,2294,0,9480348,0,1237,42194,52,107,3,0,81,0,2,24547,1871,2
Deepseek,0,13252639,0,0,718262,0,0,3811,0,58,0,0,11,0,0,39853,1284,1
OpenBMB,0,51387,0,0,1363546,0,4621,136,0,31,0,0,16,0,2,7270,467,1
01-AI,0,222549,0,0,513,0,0,1138,0,26,0,0,2,0,0,4439,272,1
Ai2,0,608218,0,0,1610818,0,291190,791,0,91,0,0,8,0,7,4453,391,1
OpenAI,3819,0,0,5250,92725341,0,0,7111,5,0,0,2,17,0,0,13129,819,1
Nvidia,1351583,1149916,3098637,624,26585,0,103842,1213,70,54,66,2,13,0,3,10693,699,1
Microsoft,7502953,6340265,7363532,0,8272450,0,0,9201,63,62,19,0,76,0,0,30956,1952,1
Apple,915100,1537947,0,0,782267,0,0,181,42,10,0,0,20,0,0,3128,260,1
HuggingFace,15025,3151123,0,0,288403,0,0,3181,1,54,0,0,12,0,0,7639,368,1
Princeton NLP,0,157722,0,0,0,0,0,828,0,60,0,0,0,0,0,520,139,1
UKP Lab,0,0,0,0,99670,0,180240039,1434,0,0,0,0,1,0,110,7839,544,1
