org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank,delta rank
BAAI,0.6397849462365591,0.09090909090909091,0.08620689655172414,0.3055555555555556,0.125,0.1013051492448567,0.010725777618877368,0.010328537022170074,1.0,0.06861711103611205,0.06486074017550553,0.7862595419847328,0.2631578947368421,0.05128205128205128,0.05478138516858617,0.3427848067172571,0.06169704212727816,0.22857142857142856,0.23843488638547936,4,2
ShanghaiAILab,0.25806451612903225,0.09090909090909091,1.0,1.0,0.25,0.022963161163303866,9.750706926252153e-05,0.08681734906029354,0.6378598495560206,0.012656091798852515,0.0799313239221671,0.9465648854961832,0.5328947368421053,0.02564102564102564,0.05524415029443952,0.1176664669086208,0.02412608305945623,0.0,0.28563534654721406,3,0
Baidu,0.10215053763440861,0.0,0.0,0.0,0.0,0.0010636751628546135,0.0,0.0,0.0,0.0,0.00019076688286913393,0.08396946564885496,0.046052631578947366,0.02564102564102564,0.0,0.0032791742137051974,0.011726919629518972,0.0,0.015226344244010252,18,-2
Baichuan,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0003345066798410836,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.0008753442459582662,0.0,0.0,0.0009116382194107119,22,-2
Zhipu,0.04838709677419355,0.0,0.017241379310344827,0.05555555555555555,0.0,0.011951480556546558,0.0,0.002081660799934128,0.04564221480685481,0.0,0.02518122853872568,0.0,0.05921052631578947,0.10256410256410256,0.0,0.04609024125834102,0.21018822826411712,0.0,0.034671873041361406,14,-2
Ali,0.27419354838709675,0.13636363636363635,0.3103448275862069,0.3055555555555556,0.0,0.010119779072686672,0.019501413852504305,0.01386144218695321,0.01558169786776766,0.0,0.0005723006486074017,0.15267175572519084,0.5526315789473685,0.0,0.002464953879826984,0.06935419794900109,0.0,1.0,0.15906759377902235,8,-1
Huawei,0.021505376344086023,0.0,0.0,0.05555555555555555,0.0,0.0006144210568042177,0.0,0.0,0.0,0.0,0.0011446012972148034,0.015267175572519083,0.02631578947368421,0.0,0.00011777580905727239,0.0017439550746399305,0.0,0.0,0.006792480565753394,20,-2
LMSYS,0.021505376344086023,0.0,0.0,0.0,0.0,0.01648531335473897,0.0,0.0,0.0,0.0,0.0764975200305227,0.0,0.013157894736842105,0.05128205128205128,0.0,0.05223111781460209,0.16611891245891844,0.0,0.02207101033454231,16,-1
Falcon,0.005376344086021506,0.0,0.0,0.027777777777777776,0.0,0.05585781107543505,0.0,0.0,0.0061082517957129125,0.0,0.07840518885921403,0.007633587786259542,0.006578947368421052,0.0,0.03524831934962739,0.0014544181317460425,0.0,0.0,0.012468924790567515,19,-2
EleutherAI,1.0,0.0,0.06896551724137931,0.0,0.0,0.4260283294353933,0.0,0.0010060931678297206,0.0,0.0,0.12190003815337658,0.32061068702290074,1.0,0.0,0.21567668977018084,0.3460841811827921,0.0,0.0,0.19445952977632514,6,-1
Meta,0.16129032258064516,0.13636363636363635,0.13793103448275862,0.4166666666666667,0.375,0.1458688442277454,0.585269932070075,0.041118590337388586,0.18763079011368136,0.002362470469119136,0.2058374666157955,0.19083969465648856,0.26973684210526316,0.10256410256410256,0.05286778883735473,0.5245197390127464,0.03196892739766956,0.0,0.19821315825006314,5,-1
Google,0.6559139784946236,1.0,0.3879310344827586,0.5277777777777778,0.875,0.20476407552754325,1.0,0.0007590728504086127,0.2676319212714213,0.0,0.5247996947729874,1.0,0.6578947368421053,0.15384615384615385,0.016662671322111626,1.0,0.0,0.0,0.45961006206599403,2,0
Deepseek,0.005376344086021506,0.0,0.0,0.0,0.0,0.0010917535444827631,0.0,0.0,0.0,0.0,0.003052270125906143,0.0,0.006578947368421052,0.0,0.0,0.004450788819833954,0.0,0.0,0.001141672441370301,21,-2
