org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,0,2,0,0,1,7044,330,1407,15256,3253,21,1,2,0,11041,15882,367,0
ShanghaiAILab,3,0,0,2,1,-900,-3,7598,-863,132,8,3,2,1,7611,-1970,323,0
Baidu,1,0,0,0,0,-7,0,0,0,0,0,0,1,0,0,16,-23,0
Baichuan,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
Zhipu,0,0,0,0,0,3055,0,-122,-896,0,4,0,0,0,0,3260,-1223,0
Ali,1,0,0,0,0,1351,-194,2484,74,0,1,0,1,0,-548,4263,0,0
Huawei,0,0,0,0,0,-347,0,0,0,0,0,0,0,0,-178,-169,0,0
LMSYS,0,0,0,0,0,2391,0,0,0,0,10,0,0,0,0,1859,532,0
Falcon,0,0,0,0,0,-10964,0,0,-443,0,37,0,0,0,-10964,-443,0,0
EleutherAI,5,0,0,0,0,114439,0,16,0,0,23,5,0,0,111046,3409,0,0
Meta,0,0,0,1,0,9917,-9697,2877,-2738,-69,64,1,0,0,-4307,4411,186,0
Google,0,0,0,0,0,-2397,-7335,-85,-6103,0,49,0,0,0,-7503,-8417,0,0
Deepseek,0,0,0,0,0,-155,0,0,0,0,0,0,0,0,0,-155,0,0
OpenBMB,2,0,0,0,0,-6968,0,0,-487,0,8,1,1,0,12478,145,-20078,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,8,0,0,0,0,-332572,0,183156,-41754,0,162,0,6,2,-184333,-559,-6278,0
OpenAI,0,0,0,0,0,-357,0,0,0,0,37,0,0,0,0,-48,-309,0
Nvidia,5,0,1,0,7,10461,0,2501,-46,47085,51,6,4,1,46583,13623,-234,0
Microsoft,23,0,1,2,1,27344,0,1279,592,176,0,4,18,5,956,27915,520,0
Apple,0,0,0,0,0,636,0,0,-327707,0,0,0,0,0,-327707,636,0,0
HuggingFace,1,0,0,0,0,-445698,0,0,0,0,43,1,0,0,-445713,15,0,0
Princeton NLP,0,0,0,0,0,-22798,0,0,-641,0,3,0,0,0,-3868,-19659,88,0
UKP Lab,102,0,0,0,0,94446,0,0,0,0,494,20,63,0,31774,58080,0,0
