org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.31546487678572877,1.0,0.5,0.46710030291086807,3,0
ShanghaiAILab,0.5,0.3562071871080222,0.3010299956639812,1.0,0.478275259498008,2,0
Baidu,0.24465054211822604,0.25,0.3562071871080222,0.23981246656813146,0.26511169929906325,14,0
Baichuan,0.22106472945750374,0.21810429198553155,0.24465054211822604,0.23981246656813146,0.22664010235007598,23,0
Zhipu,0.2559580248098155,0.27023815442731974,0.24465054211822604,0.43067655807339306,0.290333264713899,12,0
Ali,0.3010299956639812,0.6309297535714575,0.2890648263178879,0.23981246656813146,0.45378275821072883,5,0
Huawei,0.227670248696953,0.227670248696953,0.3333333333333333,0.23981246656813146,0.24730446578154613,20,0
LMSYS,0.23981246656813146,0.22106472945750374,0.26264953503719357,0.38685280723454163,0.2587514995353963,17,0
Falcon,0.23137821315975915,0.23540891336663824,0.24465054211822604,0.3562071871080222,0.25641044708098704,18,0
EleutherAI,0.31546487678572877,0.2559580248098155,0.25,0.24465054211822604,0.2629982488889002,16,0
Meta,0.3333333333333333,1.0,0.6309297535714575,0.3010299956639812,0.7108821804281288,1,0
Google,0.6309297535714575,0.43067655807339306,0.5,0.31546487678572877,0.45640405076289425,4,0
Deepseek,0.22424382421757544,0.27894294565112987,0.27894294565112987,0.23981246656813146,0.26330467889837106,15,0
OpenBMB,0.2890648263178879,0.26264953503719357,0.26264953503719357,0.3333333333333333,0.27883271663333253,13,0
01-AI,0.21810429198553155,0.23137821315975915,0.26264953503719357,0.23981246656813146,0.23578348884502232,22,0
Ai2,1.0,0.2890648263178879,0.26264953503719357,0.2890648263178879,0.4031514733847908,7,-1
OpenAI,0.23540891336663824,0.3010299956639812,0.43067655807339306,0.2559580248098155,0.3041889138736317,10,0
Nvidia,0.43067655807339306,0.38685280723454163,0.31546487678572877,0.26264953503719357,0.36155823193332337,8,0
Microsoft,0.26264953503719357,0.5,0.38685280723454163,0.27023815442731974,0.4032900827831758,6,1
Apple,0.27023815442731974,0.24465054211822604,0.27023815442731974,0.23981246656813146,0.2523734002962415,19,0
HuggingFace,0.38685280723454163,0.23981246656813146,0.2559580248098155,0.6309297535714575,0.3321963308867015,9,0
Princeton NLP,0.25,0.22424382421757544,0.26264953503719357,0.25,0.23923016794831994,21,0
UKP Lab,0.27894294565112987,0.3333333333333333,0.26264953503719357,0.27894294565112987,0.30342257105657555,11,0
