org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,119,4,10,11,1,61335,330,4014,35362,3253,340,103,40,2,52560,50908,826,24
ShanghaiAILab,48,4,116,36,2,13903,3,33740,22556,600,419,124,81,1,53004,17475,323,0
Baidu,19,0,0,0,0,644,0,0,0,0,1,11,7,1,0,487,157,0
Baichuan,0,0,1,0,0,0,0,130,0,0,0,0,1,0,0,130,0,0
Zhipu,9,0,2,2,0,7236,0,809,1614,0,132,0,9,4,0,6845,2814,0
Ali,51,6,36,11,0,6127,600,5387,551,0,3,20,84,0,2365,10300,0,105
Huawei,4,0,0,2,0,372,0,0,0,0,6,2,4,0,113,259,0,0
LMSYS,4,0,0,0,0,9981,0,0,0,0,401,0,2,2,0,7757,2224,0
Falcon,1,0,0,1,0,33819,0,0,216,0,411,1,1,0,33819,216,0,0
EleutherAI,186,0,8,0,0,257938,0,391,0,0,639,42,152,0,206931,51398,0,0
Meta,30,6,16,15,3,88316,18007,15980,6635,112,1079,25,41,4,50724,77898,428,0
Google,122,44,45,19,7,123974,30767,295,9464,0,2751,131,100,6,15987,148513,0,0
Deepseek,1,0,0,0,0,661,0,0,0,0,16,0,1,0,0,661,0,0
OpenBMB,6,0,0,4,0,15564,0,0,5698,0,298,3,1,6,14197,145,6920,0
01-AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai2,161,0,6,12,0,605448,0,388632,14862,0,5242,59,81,39,959450,36104,13388,0
OpenAI,3,0,0,0,0,3027,0,0,0,0,610,0,1,2,0,101,2926,0
Nvidia,19,0,2,1,8,32006,0,2701,37,47408,627,8,15,5,46866,26504,8753,0
Microsoft,23,0,1,2,1,27344,0,1279,592,176,0,4,18,5,956,27915,520,0
Apple,1,0,0,4,0,918,0,0,30171,0,9,4,1,0,30171,918,0,0
HuggingFace,6,0,0,0,0,587089,0,0,0,0,679,5,1,0,586835,254,0,0
Princeton NLP,12,0,0,1,0,8499,0,0,808,0,140,3,8,2,1645,7011,651,0
UKP Lab,102,0,0,0,0,94446,0,0,0,0,494,20,63,0,31774,58080,0,0
