org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,-3444,-14850,0,-969,6956,0,1340965,77,0,0,0,0,8,0,0,273,7,0
ShanghaiAILab,-365835,-20400,0,0,-2123647,9621,0,23,6,0,0,0,3,0,0,50,-4,0
Baidu,0,136,0,0,0,0,0,3,0,1,0,0,0,0,0,8,0,0
Baichuan,0,-37208,0,0,229,0,0,1,0,0,0,0,0,0,0,-87,9,0
Zhipu,207769,3149,182282,0,-203940,0,0,17,2,-4,0,0,-1,0,0,-1,44,0
Ali,1346233,4943601,9148295,-250604,-1592288,0,568351,3185,5,0,10,1,-5,0,-1,7152,564,0
Huawei,0,-4311,0,0,0,0,0,0,0,-6,0,0,0,0,0,-1,-6,0
LMSYS,0,1174556,0,0,0,0,0,34,0,0,0,0,0,0,0,17,2,0
Falcon,0,41501,0,0,-377,0,0,-1,0,-8,0,0,0,0,0,24,0,0
EleutherAI,0,559392,0,0,0,24485,0,-2,0,-8,0,0,0,-1,0,23,-8,0
Meta,-87197,-16949476,-9434589,43681,120435,-8965941,5451694,1261,-28,5,-496,0,-9,0,-2,2207,204,0
Google,6160145,2729131,-769,0,-5441788,0,-692,1259,-3,-22,0,0,12,0,0,3134,138,0
Deepseek,0,-3516297,0,0,-263163,0,0,610,0,1,0,0,0,0,0,4781,145,0
OpenBMB,0,-10583,0,0,341360,0,-4036,-19,0,-6,0,0,-2,0,0,57,0,0
01-AI,0,62970,0,0,94,0,0,23,0,0,0,0,0,0,0,13,3,0
Ai2,0,65543,0,0,1328721,0,5042,69,0,-28,0,0,1,0,1,210,-24,0
OpenAI,861,0,0,-2213,-9672650,0,0,389,0,0,0,0,1,0,0,394,47,0
Nvidia,-903864,-931884,48802,624,570,0,-259460,59,14,-1,6,2,5,0,0,-131,36,0
Microsoft,-3212142,417173,6042710,0,-3371011,0,0,438,-1,-9,-8,0,-4,0,0,1216,61,0
Apple,126212,-513,0,0,228419,0,0,4,1,0,0,0,3,0,0,136,10,0
HuggingFace,15025,3151123,0,0,288403,0,0,3181,1,54,0,0,12,0,0,7639,368,0
Princeton NLP,0,-33147,0,0,0,0,0,8,0,-38,0,0,0,0,0,9,-15,0
UKP Lab,0,0,0,0,-46392,0,-19845840,120,0,0,0,0,0,0,-1,280,4,0
