org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,2563,12510,0,642,-19083,0,-40509,50,-1,1,0,0,2,0,0,464,57,0
ShanghaiAILab,29767,72428,0,0,3324704,2600,0,73,5,8,0,0,13,0,0,1007,94,0
Baidu,0,59,0,0,108,0,0,0,0,0,0,0,2,0,0,4,0,0
Baichuan,0,19317,0,0,0,0,0,0,0,4,0,0,0,0,0,94,38,0
Zhipu,0,70856,1010784,0,-127037,0,0,29,0,6,0,0,1,0,0,250,25,0
Ali,58347,2807926,-2830712,-110,-765039,0,2146322,5316,-9,7,6,0,1,0,2,3796,242,0
Huawei,0,5947,0,0,0,0,0,0,0,5,0,0,0,0,0,1,7,0
LMSYS,0,59651,0,0,0,0,0,547,0,0,0,0,0,0,0,12,0,0
Falcon,0,347374,0,0,-240,0,0,423,0,-3,0,0,0,0,0,69,11,0
EleutherAI,0,467180,0,0,0,19436,0,1284,0,6,0,0,0,0,0,54,8,0
Meta,9453829,19358008,9110664,-2,1084123,2725358,44445,2554,33,5,481,0,0,0,1,1951,271,0
Google,2633885,1936893,-812,0,1772612,0,-904,527,3,7,0,0,15,0,0,838,84,0
