org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.00037692466825993057,0.002158958290760235,0.0,1.0,0.004717976810142668,0.0,1.0,0.011413458712900382,0.027906976744186046,0.18928571428571428,0.0,0.6666666666666666,0.2878787878787879,0.0,1.0,0.13340951819220703,0.14732650739476677,1.0,0.303952304980244,3,0
ShanghaiAILab,0.005945081596693001,0.005127379103011025,0.0,0.0,0.5060607903786609,0.0002682330268610975,0.0,0.005736115192477226,0.20465116279069767,0.20357142857142857,0.0,0.0,1.0,0.375,0.0,0.1129317653997862,0.16012514220705348,0.25,0.15718983879259274,5,0
Baidu,0.0,3.500607061650107e-06,0.0,0.0,2.114569094975622e-05,0.0,0.0,3.526300323244196e-05,0.0,0.0035714285714285713,0.0,0.0,0.022727272727272728,0.0,0.0,0.00027647731042872414,0.0,0.5,0.029257504883909657,10,0
Baichuan,0.0,0.004475396911280473,0.0,0.0,0.0,0.0,0.0,0.0005642080517190714,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.06375566778486379,0.07224118316268487,0.25,0.024700438026776485,12,0
Zhipu,0.0,0.03349192884529821,0.05603039671736691,0.0,0.06830953758976191,0.0,0.0,0.001986482515427564,0.0,0.2,0.004761904761904762,0.0,0.17424242424242425,0.0,0.0,0.27835735613963947,0.3046075085324232,0.25,0.07621041885245812,6,0
Ali,0.06665816929871382,0.3344191010412873,0.5041418825894309,0.19622964867180806,0.8685138547189035,0.0,0.32226858218030524,1.0,0.5116279069767442,1.0,0.24761904761904763,1.0,0.5303030303030303,0.0,0.7931034482758621,0.8499465477199838,0.9081342434584755,0.25,0.5212758590474218,2,0
Huawei,0.0,0.00023038223386940236,0.0,0.0,0.0,0.0,0.0,2.3508668821627976e-05,0.0,0.039285714285714285,0.0,0.0,0.0,0.0,0.0,0.00011059092417148966,0.003981797497155859,0.5,0.030201777422762928,9,0
LMSYS,0.0,0.012737604879009858,0.0,0.0,0.0,0.0,0.0,0.008792242139288862,0.0,0.06428571428571428,0.0,0.0,0.0,0.0,0.0,0.06430862240572123,0.04692832764505119,0.25,0.024836250630821413,11,0
Falcon,0.0,0.022682477131050933,0.0,0.0,7.264166773328019e-05,0.0,0.0,0.01526888039964737,0.0,0.17857142857142858,0.0,0.0,0.007575757575757576,0.0,0.0,0.15556456666789545,0.1899886234357224,0.25,0.04554024308051309,7,0
EleutherAI,0.0,0.04185213031674667,0.0,0.0,0.0,0.00179262345721671,0.0,0.03337055539230091,0.0,0.18571428571428572,0.0,0.0,0.0,0.125,0.0,0.07671323773362333,0.07394766780432309,0.25,0.043799472245472024,8,0
Meta,1.0,1.0,1.0,0.09940017137960583,0.537285263953575,1.0,0.029550930029180272,0.24025859535703792,1.0,0.425,1.0,0.3333333333333333,0.20454545454545456,1.0,0.3448275862068966,1.0,1.0,0.5,0.6507889630447268,1,0
Google,0.5424790241377748,0.15309113236086624,5.656695312339334e-05,0.0,1.0,0.0,3.4156525221354896e-05,0.4725947693211872,0.1813953488372093,0.3535714285714286,0.004761904761904762,0.0,0.5151515151515151,0.0,0.06896551724137931,0.3838058023371549,0.4678612059158134,0.5,0.2579871317841433,4,0
