org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips
BAAI,8496,91894,0,1167,37930,0,16980650,971,6,53,0,2,38,0,29,7238,518,4
ShanghaiAILab,134004,218242,0,0,4068457,4386,0,488,44,57,0,0,132,3,0,6127,563,1
Baidu,0,149,0,0,170,0,0,3,0,1,0,0,3,0,0,15,0,2
Baichuan,0,190491,0,0,0,0,0,48,0,15,0,0,0,0,0,3459,254,1
Zhipu,0,1425552,1114329,0,549172,0,0,169,0,56,3,0,23,0,0,15102,1071,1
Ali,1502496,14234230,10026342,229,6982385,0,5472330,85075,110,280,156,3,70,0,23,46113,3193,1
Huawei,0,9806,0,0,0,0,0,2,0,11,0,0,0,0,0,6,14,2
LMSYS,0,542164,0,0,0,0,0,748,0,18,0,0,0,0,0,3489,165,1
Falcon,0,965458,0,0,584,0,0,1299,0,50,0,0,1,0,0,8440,668,1
EleutherAI,0,1781396,0,0,0,29312,0,2839,0,52,0,0,0,1,0,4162,260,1
Meta,22540313,42564046,19887937,116,4319485,16351454,501794,20440,215,119,630,1,27,8,10,54254,3516,2
Google,12227647,6516178,1125,0,8039463,0,580,40206,39,99,3,0,68,0,2,20823,1645,2
